V1,Source,lpq1_1,lpq2_1,lpq3_1,lpq4_1,lpq5_1,lpq6_1,lpq7_1,lpq8_1,lpq9_1,lpq10_1,lpq11_1,lpq12_1,lpq13_1,lpq14_1,lpq15_1,lpq16_1,lpq17_1,lpq18_1,lpq19_1,lpq20_1,YEAR
R_2c0Yp9ognOXWOKw,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2c13cY1OF2A9xEz,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2c3ILfKtBug00df,not random,1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,2,2,1,1,1,2015
R_2c5R41aSC0v3h4u,not random,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,1,1,2,1,2015
R_2c64SfouPsihNuZ,random,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2015
R_2c8zn4GUKqCl4Kp,random,1,2,1,1,2,1,1,1,2,2,2,2,1,2,1,2,1,1,1,1,2015
R_2CBRvyd1dWqGQ5T,not random,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2015
R_2cCOSL98Yr4iTOs,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2Cd1M5rKYqkJJKS,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2cdwF8rcRravVUO,not random,1,2,1,1,1,2,2,1,1,2,1,2,1,2,2,2,1,2,1,2,2015
R_2CH4KjbtzrX6P12,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2chIpMGuYiOuP0n,random,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,2,2015
R_2CHVHiVlfELk77v,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2CJKuU3oraJq2pZ,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2Ck4HdMiB07IVwp,random,2,2,1,1,2,1,1,2,2,1,2,1,1,2,1,2,1,1,2,1,2015
R_2CmoNTdo0bJ0NQw,not random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_2cosO2txrfbmNGJ,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2CpoNeZo0DmCaDa,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_2CpRCqDLq7l7j5W,not random,2,2,1,1,1,1,2,1,2,1,2,2,1,NA,1,2,1,1,2,1,2015
R_2CrC062fFwz30nf,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2cu1NakA1CMGA7j,not random,2,2,2,2,2,1,2,2,1,1,2,1,2,1,1,2,1,2,2,2,2015
R_2cu1NdG0TaRGfJF,random,1,1,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,1,2,1,2015
R_2Cv2pZVO3nSZS3D,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2016
R_2CvxpFyrSmPSr1U,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2CWkhBJOCpqS2G1,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
R_2Cy4MssJ5Z31rWo,random,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2016
R_2Cy84pnElUBrMMH,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2CZF9J021UwHgvp,not random,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2015
R_2D1zywnCgi3KFZz,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_2D6znes8VdlcKQJ,not random,2,2,2,1,1,2,2,1,2,2,1,2,2,1,1,2,1,2,1,2,2015
R_2D7eNWyJI38qRpK,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2D7SqjfaaQrgdo2,random,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,2015
R_2dAZUOlWPk9fJVv,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2dFmWoWEpg7uQfl,not random,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,2015
R_2dFolAtuLeZpRIC,random,2,2,1,1,2,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,2015
R_2dSAzdI6zPrPZhM,random,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,2015
R_2dteg6lqenkxl4D,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2dWJHlfDTc3KwUq,not random,2,2,1,1,2,1,1,1,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_2dWjKzDss2NfHh0,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2DYuDz9SSLYxSkP,not random,1,2,1,2,1,2,2,1,2,1,2,1,1,1,2,2,1,1,1,1,2016
R_2dZ2868zg74wztv,not random,2,2,1,1,1,2,1,2,2,1,2,2,1,2,2,2,1,1,1,1,2015
R_2DZCBY0gUvf95nf,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2E3FauqlHzHXbAz,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2E3QDoX2h6gLADZ,random,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,1,2,2,1,2,2015
R_2e3Z64vTGZHLhYx,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2e9fvQpVAFIIPR6,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_2Eb3LJ5shMdIZ8X,random,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,2,2,2016
R_2EF3vJAQz608joJ,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2EfPrJrU3Y6ukyI,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
R_2EgTijiXyPk55tL,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2EgxnejNFq3xIRd,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2Ei5X1vgbc1sgkm,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2EibnOGFcGBDzBa,not random,2,2,1,1,2,2,1,1,2,1,2,1,1,2,1,2,1,1,2,2,2015
R_2Esl4m6DRZeE6CO,random,1,2,1,1,1,1,1,2,2,1,2,2,1,2,1,2,1,1,1,1,2015
R_2eW4yVL4AO06HvX,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2eWR4v6FjpIRJ2l,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2f15GH1sEyqGiJ7,random,1,2,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,2,1,2015
R_2f2tIBTVYjEHj7O,not random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_2fBOGziEqgtTDsy,random,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2016
R_2fdDGL9eyWPqiJd,not random,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2015
R_2ffhLZZ6vMDa27B,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2fGUuJZ7W839vVK,not random,1,2,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2,1,2015
R_2fIphk0Q1skpOMH,not random,2,2,1,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,2,1,2015
R_2fJmCaGhcrYnVLr,not random,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2015
R_2fjOOpYrMtwZsxz,random,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,2,2015
R_2fpP7OwFZDaXOQ5,not random,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,2015
R_2fqVxlgLdkxxEUp,random,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,1,2,1,2,2015
R_2frqAxGW6BTUofc,not random,2,2,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,2,2,1,2016
R_2fUpQQYLOZ11gr3,not random,2,2,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,2,2015
R_2fW4iVLQhDfmWUt,random,1,1,2,2,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,2015
R_2g9rXpyuuKXmolb,not random,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2015
R_2gX0wWfClvUXpEB,random,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2015
R_2gXUiVLjQXoaVcF,not random,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2015
R_2gZQoXv35kPUnhb,random,2,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_2h65QBFTyZ8UqvX,not random,2,1,1,2,1,1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,2015
R_2hiopAgwQsE7OrH,random,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,2015
R_2hQ6fFU46ALDMQN,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
R_2ipcroDvbrJD4rP,not random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_2iqT6lFmhcvDAxX,random,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,2,1,1,2,2,2015
R_2iqVxIwsOxFk5bD,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_2iy16YdHbLmOBH7,random,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,1,1,2015
R_2izLaoAa3ZcQUpn,not random,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2015
R_2lTbPB4NcI5MvwV,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_2m1JT7y72C15lAh,random,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2015
R_2m1USDFUGiFDB8R,random,1,1,2,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,2016
R_2meDjUxarDYcYxn,random,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_2mhlT6e7OfLXrzD,random,2,2,1,1,1,2,1,1,2,2,2,2,1,2,1,2,1,1,2,1,2015
R_2n9XMZxuGFSHzGl,random,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2015
R_2nvF8i9iBHmr0IR,not random,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,2,1,1,2015
R_2oarJrICBExi1XT,not random,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2015
R_2odM0r8WuZyoy21,not random,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_2oi3hHXlWygm805,random,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,2015
R_2ONJIOtgoVGpWtR,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
R_2ONL5ReZYWXkPk8,not random,1,1,1,2,1,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,2015
R_2OOUSdSgQqFARi8,random,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2,1,1,1,2016
R_2OSDOBJUGvmyCk0,not random,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,2015
R_2OVLbihoEm0Hh7r,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2P0CJ4T82uYNECM,not random,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,1,2,1,1,1,2015
R_2P1qjHsJe8qXEqv,not random,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,1,2015
R_2P59bTxwS94Kyo1,random,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,2,2015
R_2PA9JDahJ9pQo7c,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2PAyNSoQER7Z45W,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2015
R_2PbwKeh18FHm5pU,not random,2,2,1,1,2,1,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2015
R_2PCmWuJM9bGF4GS,not random,2,2,1,1,2,2,1,1,2,1,2,2,1,1,1,2,2,1,2,1,2015
R_2PhtwwjYl0ovSb5,random,2,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,2,2015
R_2pLuDZNKS4a3Vbw,random,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2016
R_2pPKxHswZNts2Vz,random,1,2,1,1,2,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2016
R_2pPsIrGYrUGzFLP,not random,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2015
R_2pQvsFi0jdoKk8t,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2PtalSWKcmvXfFw,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,1,1,2015
R_2pW6zb0tEkDBpph,random,2,2,1,1,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,2015
R_2pXGxH06apinXTn,not random,1,2,2,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,2015
R_2PzebJOOZN5TKT1,random,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,2,1,1,1,1,2015
R_2q1WM3wdNtFEKIb,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
R_2q2RVxGYu6WqQw2,random,1,2,2,1,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1,2016
R_2q3FG6ursRg349b,not random,1,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2016
R_2q4olFkiIZM8HxG,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2qBGcg3OX2EftM1,not random,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,2,1,1,1,1,2015
R_2qEsE3OlcHcvI7d,random,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,2,2015
R_2QfdfcFE5KRsETU,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2QffRcqf1VM0mEU,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2Qfw8r2ENRf7S42,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2QgsNkVTFPm8eud,not random,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,1,1,2015
R_2Qh3uQdSBCggNpX,not random,2,1,1,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2015
R_2QilGP95ZQ7U1PP,random,2,2,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2015
R_2QimTXMtZDtNfLd,not random,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1,2,1,1,1,1,2015
R_2ql8P5CS5CYlusR,not random,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,1,1,1,2,2015
R_2qlPPxwoHIsmaYC,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2QM8y9IcT1EuBtu,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2Qm9xfNs8srE3CD,random,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1,2,1,1,1,1,2015
R_2qmexXkq2J6SPAG,random,2,2,1,1,1,1,2,NA,2,1,2,1,1,1,1,2,2,1,2,1,2015
R_2QnggO4FgD060z2,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,2,1,2,1,2015
R_2QnvMU1sRWduKj4,not random,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2,1,2,2015
R_2QSPqLNJlvSL2Aq,random,2,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2015
R_2Qtk60C7fdLYihZ,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2QVP3OkflQWJUZg,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2QVyvlM1HiE36iF,not random,2,2,1,1,1,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1,2015
R_2QX9XKMLGE5Xr8V,not random,2,2,1,1,2,1,1,1,2,2,2,2,1,2,1,2,1,1,2,1,2015
R_2QXkm8pWVu6kTrk,random,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,2015
R_2qyeeeUrQ2FXzOv,random,2,2,1,1,2,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,2016
R_2r85myFl9fYK9IV,not random,2,2,1,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,2,1,2015
R_2rC9dARNKb7UtZo,not random,2,2,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,2,1,2015
R_2rJEu0wqdnillcX,random,2,2,1,1,1,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_2ROFgSOB6X9cifl,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2rOYZRpdj9vb6dj,not random,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2015
R_2rpfIoEjrKbL1tm,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2RPKt18yVAOEwQY,random,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,1,1,2,1,1,2015
R_2rSN7NQPJWtgTKb,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
R_2RU1sQC521D7wXv,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2rWAk64hxvRj42x,not random,2,2,1,1,2,1,1,2,2,2,2,1,1,2,1,2,1,2,2,1,2015
R_2rYCcaNVRFwgmPX,not random,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_2S0u4wXbHsNs0Ud,random,2,2,1,1,1,2,1,2,2,1,2,2,1,2,1,2,1,1,1,1,2016
R_2s1GtRd5MTZOYhL,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
R_2s1NBB7KeFozGi7,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2S20zkmqaVIrGag,not random,2,2,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,1,2,2015
R_2s4lvCPPhT9CT49,not random,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2015
R_2S7FLssRCeKKBy9,not random,1,2,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2015
R_2s7lxzDkMWzPcHQ,random,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2015
R_2sbCNquSbC5MZ5j,random,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,2015
R_2ScLA3e8452yiUE,not random,2,2,2,1,1,2,1,1,1,1,1,2,2,2,1,NA,2,1,2,1,2015
R_2SDKXiYiopcCDcp,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2SdmhbkKd9gHwuC,not random,1,2,1,1,1,2,1,2,2,1,2,2,1,2,1,2,1,2,1,1,2015
R_2sdRWF8oRNfRZF9,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2sFULt7OCVqXgEJ,not random,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,2015
R_2sHEUpjdPhnKmfD,random,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2015
R_2SHXAvZZ0HQPPqR,random,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,2,1,1,2,1,2015
R_2sP0iBSwK6Q4GnH,random,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2015
R_2SqzJu1dTcfNEJ4,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2sSzuow7jUXF9UJ,random,2,2,1,1,2,2,1,2,2,1,2,2,1,1,1,2,1,1,2,2,2015
R_2SuIoyW6PtlGBPb,not random,1,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2015
R_2sXqWtj3IohnOEA,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2t9D8hg4kdkHnNs,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2ta6pfKVL7GyArE,not random,2,2,1,1,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,1,2015
R_2TAgT85xIn6GlIz,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2tbfjqvnaXKwUt6,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2TFecQOSqwVHWo0,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
R_2tGnSQyqQmveNhV,not random,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,1,2015
R_2thQT2YWtITSyBQ,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2tLPO1F0YERHlBh,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2tmvfGFVoJNUtnK,random,1,2,1,1,1,1,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2016
R_2TN5BxxmdQgAcV8,random,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2016
R_2to1nB9I9GHWzaZ,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2tr4PREoC81ZtWD,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
R_2TRcM0dmWPRaa67,random,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2016
R_2trl1SvyN4ynh7R,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2trtViuiLxv5qnL,not random,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,1,2015
R_2TRUz0j3Vvy3ARq,random,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2015
R_2tyhJhyFwsf1dAR,not random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_2TYJTQrFQ97YDmc,not random,1,2,1,1,2,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,2016
R_2TYObyZLCyjQ2Lh,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2Tz1l31KcjEuEH4,random,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,1,1,1,1,2015
R_2TzAVx0m2PWzeN1,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2tzpHVVzqVHcfBL,random,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,2,2,1,2,1,2015
R_2TZvPASaWhZMb2V,not random,2,2,1,1,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2,1,2015
R_2U4nvQxdv8N52XI,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_2u8I6D2RTjLaSgd,not random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_2uaw3LeMhRGL59X,random,2,2,1,1,1,2,1,2,1,2,2,2,1,2,1,2,2,2,1,1,2015
R_2uE3CK40zRuvfe2,not random,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2015
R_2UeVP7jXuJRz5IA,random,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,1,2,1,2015
