V1,Source,lpq1_1,lpq2_1,lpq3_1,lpq4_1,lpq5_1,lpq6_1,lpq7_1,lpq8_1,lpq9_1,lpq10_1,lpq11_1,lpq12_1,lpq13_1,lpq14_1,lpq15_1,lpq16_1,lpq17_1,lpq18_1,lpq19_1,lpq20_1,YEAR
R_25EmwgLnIKnE4yn,not random,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2015
R_25EnfE0TnEOXtOC,not random,1,1,2,2,1,2,2,1,1,2,1,1,1,1,2,1,2,2,1,2,2015
R_25F01S04agBRobf,random,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,2,1,2015
R_25GaOKfMK7NAxjl,random,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_25JDV3Tzco2KqA1,not random,1,2,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,2016
R_25jpAipzBqsOFRD,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_25L9NAeedpbAKJ1,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_25L9nmWdTQElhTt,not random,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,2016
R_25LpUjsignRTZTA,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_25QS23HZxYYFGcf,random,1,2,1,1,2,1,2,2,2,1,2,1,1,2,1,2,1,1,1,1,2015
R_25Rfs3lLiTq0X4Y,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_25RUDVVy75WeYl1,random,1,2,2,1,2,2,1,2,1,1,1,2,2,2,1,2,2,2,1,1,2015
R_25TKSifW2IrFbbS,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_25u9RD95nOTg7FY,not random,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2015
R_25urFJ8NKglGcQI,not random,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2015
R_25uZx0BoUGi9kEa,not random,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2015
R_25WWBQzh5yXIwez,not random,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2015
R_25WxwnMTOXhwNEQ,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_25yHYShveGADL8t,not random,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,2,1,1,1,2,2015
R_25ykxrDiq2ekKTZ,not random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_25YZticGgCE9W2w,random,2,2,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,2,2015
R_25Zh7iPXFWRRsvr,not random,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_262XOonQhfUH9gi,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_265UAKyJlMlT9vU,not random,2,1,2,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2015
R_26eXdgGzwVKHRAS,not random,1,1,2,2,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,2015
R_26hClvlJoqdoyWx,not random,2,2,1,1,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2015
R_26l5x0pOUTiJUlT,not random,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1,2,2015
R_26lsRdaGibqz5w0,not random,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2015
R_26uFbthJmcNlP2l,not random,2,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,2015
R_26vMqtxFmIkLYkR,random,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,1,1,1,2015
R_272JPHZVtFflwcR,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_273hZ5KyUnNedrU,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_27DqjDjAFMN0qVs,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_27erVSX38ciKD73,random,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
R_27ItPHFfg0zywH7,not random,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,2015
