,V1,Source,Gender,Age,Ethnicity,YearinSchool,YEAR
117,R_12DQuhYjxmQAXGQ,0,10,18,White,2,2016
118,R_12DVt7fEa29cLrK,0,10,18,White,1,2015
119,R_12FoVqQ4ZtE1Q3F,0,9,19,White,2,2015
120,R_12hUSD2b14P1769,1,9,18,White,1,2016
121,R_12KoC0RH5dmGpBE,0,10,18,White,1,2015
122,R_12Qr9j7Pbrz5Ygw,1,10,19,White,1,2016
123,R_12SbgSmIGezIhKd,1,10,18,White,1,2015
124,R_12szc4Rdqa2l3F0,0,10,18,White,1,2015
125,R_12xWGHDqqPE72Ji,0,9,19,Asian,1,2015
126,R_12zmKUYt7tOOI6F,1,10,18,White,1,2016
127,R_1Agw3iPPWQsCOyN,1,10,19,White,2,2015
128,R_1AGz3g3beU4CzaJ,0,9,18,White,1,2015
129,R_1AhFWa4zJZl6x6d,1,10,19,White,1,2015
130,R_1B8EKYOtV8rz1Zz,0,10,19,White,2,2015
131,R_1BOVig5n0K4OYZc,1,10,37,White,4,2016
132,R_1BOZoewGniKCkgV,0,10,18,White,1,2015
133,R_1BP66ClH9MSslDL,1,9,19,White,1,2015
134,R_1BuPqiyNn3uASfH,1,9,18,White,1,2015
135,R_1BVMSouzDpXed5y,0,9,18,White,1,2015
136,R_1BxUcIc75cUv9CB,0,9,19,Multiple,2,2015
137,R_1BYimXEKgliBb4W,1,10,19,White,1,2016
138,R_1C7SJ6OLjuMu9qX,1,10,18,White,1,2016
139,R_1C8yKdvYJGj2xyc,1,10,18,White,1,2016
140,R_1C9DLddb50viH8U,1,10,18,White,2,2015
141,R_1C9IK5qZj7icfMK,1,9,19,White,1,2016
142,R_1CamdQmpvDKgDTh,1,10,19,White,2,2016
143,R_1CanexWt6l5Y5in,0,10,18,White,1,2015
144,R_1Cb3oCvXNpSGeCp,0,9,19,White,1,2015
145,R_1CcszVH3247yoNn,1,9,19,White,1,2015
146,R_1CDTcKSJWDlMCgx,0,10,25,Other,3,2016
147,R_1CduUxmU7NM1jTS,0,9,20,White,2,2015
148,R_1CduyIjjisKUWRH,1,10,18,Black,1,2016
149,R_1CEnVTIUQRoGVHe,0,10,18,White,1,2015
150,R_1CfjahSeMZBCiWV,0,9,18,White,1,2015
151,R_1CHLiliSKVql6H2,1,10,19,White,2,2016
152,R_1CjTnW1LLexdaUF,1,10,18,White,2,2016
153,R_1CJyiEFmP6JONo7,1,9,,,3,2015
154,R_1CKhF2LfhxdmxvG,1,10,19,White,2,2016
155,R_1CmERsX7LO8v79q,1,9,18,White,1,2015
156,R_1Cp5LtrsoLiOMh3,0,10,18,White,1,2015
157,R_1CpzNYyabfVqmsI,0,,,,,2015
158,R_1cV2lMBFty7GPWO,1,10,19,White,1,2015
159,R_1cXJsQXhXWQCG5j,1,10,19,White,1,2016
160,R_1d13Lp4hHvNHtpN,0,9,,White,1,2015
161,R_1d3TDFcexafPKM2,1,10,19,White,1,2016
162,R_1d4YBJg3E7Dupu7,1,9,22,Black,3,2016
163,R_1d6OWy2Ji74ziDr,0,10,19,White,1,2015
164,R_1d6quYs6xXfGDel,0,9,19,White,1,2016
165,R_1daCuEh7QhpxO8P,1,10,18,White,1,2016
166,R_1dAM7hE3zQxoz2u,0,10,18,White,1,2015
167,R_1dc6JZL8uoLA9QO,0,10,18,Black,1,2015
168,R_1dcBfXVk24ueBqI,0,10,21,White,4,2015
169,R_1DCG9XwRnUZ17np,1,10,20,Black,2,2016
170,R_1DCnlxnFkdTPPIv,1,10,19,Multiple,1,2016
171,R_1dcRmJnp4DdqJhb,1,10,19,White,1,2016
172,R_1dcsGJz6ZPTHS3E,0,9,19,White,1,2015
173,R_1dcYY1kKROvWxLU,1,9,18,White,1,2015
174,R_1DDcsJC3KAcRXmA,1,,,,,2015
175,R_1dfZqiB5x3fcEfc,1,10,18,White,1,2015
176,R_1dgdqnjDfVxcRUE,1,10,19,White,1,2016
177,R_1dGM1vgYkzZsj6c,0,10,18,Multiple,2,2016
178,R_1dKVIUNNe8CXNlP,1,10,20,Black,2,2016
179,R_1DqgxLyMkHqQnd8,1,10,18,White,2,2016
180,R_1ds1yyWDPt8TeEg,0,10,18,White,1,2015
181,R_1DT1fUbaP9MR5Jr,1,10,19,White,1,2016
182,R_1DwDoqbs3DPxX3t,1,10,19,White,1,2015
183,R_1DwlwfcOQTeVuUM,0,10,19,Asian,1,2015
184,R_1DYa5jfflq93KHF,1,10,21,White,3,2016
185,R_1dyNZFaMMLVIMTm,0,9,19,Multiple,1,2015
186,R_1DzDyv1Y6suZyqV,1,9,18,White,2,2016
187,R_1dzOPCdR4Sx6gCy,1,9,18,White,1,2015
188,R_1dzXl6QrANKH0Hi,1,10,19,White,1,2016
189,R_1E0zm4PLKxfSdE9,0,10,18,White,1,2015
190,R_1eCqQL4Z3Mh54TZ,0,9,20,White,2,2015
191,R_1EhzEnTbvJljb1d,1,10,18,White,1,2016
192,R_1Ej4Ri45HgM6sEb,1,10,19,White,1,2016
193,R_1eK58gp8jgoHXEd,0,9,19,White,1,2016
194,R_1ELU1FmuKHlTqgR,1,10,23,White,4,2015
195,R_1eQdBs3SemhLGK6,0,10,18,White,1,2016
196,R_1eXA7VjreUsjyW2,0,10,20,Other,1,2015
197,R_1f0LYcaynXKOdiU,0,10,20,White,3,2015
198,R_1f1b3AHNODIW5iG,1,10,19,White,2,2015
199,R_1f2bB6SgXxOchAB,0,10,,,4,2015
200,R_1F2hSZy64X8SmQo,0,9,19,White,1,2015
201,R_1f9LLZFHWSidxOi,1,10,19,White,1,2015
202,R_1FaGRJtXLiEjXqm,0,10,18,White,1,2015
203,R_1FbNSl1lFyar3Qd,1,9,18,White,1,2016
204,R_1FEUNfZxiKDSwg8,0,10,30,White,3,2015
205,R_1FEZhxvH0BuRShw,0,10,18,Black,1,2015
206,R_1Ffg62bK5eYVl7Q,1,9,,White,1,2015
207,R_1FghMWyrUnWscdt,0,10,20,White,2,2015
208,R_1FgUdmv22uifeYp,0,9,20,White,2,2015
209,R_1Fh7bjhhoVLsJrO,1,10,18,White,1,2016
210,R_1FLEZCeucMNG8HX,1,9,19,White,1,2016
211,R_1FPVgXSuzAYzATO,1,10,18,White,1,2015
212,R_1Frjw2datYoUMan,1,10,19,White,1,2016
213,R_1FUv7KYwdlaR4PP,0,9,18,White,1,2015
214,R_1FvnLmazr6iLPCt,1,10,18,White,1,2015
215,R_1FwvlVqZ6ZnPhic,1,9,19,White,1,2015
216,R_1FwVqNC7ow0odqh,1,10,19,White,1,2016
217,R_1FYI1KW5Nm8PfSd,0,10,18,White,1,2015
218,R_1FYNjdpJfvDa5vL,1,9,22,White,3,2015
219,R_1FyxYTAiud8G4Lb,0,,,,,2015
220,R_1g1QXAGA6rfWOzU,0,10,20,White,2,2015
221,R_1g2cFiVQsR7FyBI,1,10,19,White,1,2016
222,R_1g5rE9YjqO7MZih,1,9,18,White,2,2016
223,R_1gAfoHPkMQaoUPB,1,,,,,2016
224,R_1gcJZr4xUCexKc6,1,9,18,White,1,2015
225,R_1gCTtbbyqmifHKE,1,10,,White,1,2016
226,R_1GDoupD7EDuuF2z,1,10,19,White,1,2015
227,R_1GEuifzsDGmi7AD,0,9,19,White,2,2015
228,R_1gGTcLJ8GshShPv,0,10,,,1,2015
229,R_1ghFFwoxrTpmGHL,1,10,19,White,2,2015
230,R_1ghgAcb2GTOPckv,0,,,,,2015
231,R_1gI45QeyF30n342,0,10,18,White,1,2015
232,R_1GIgsKcWLMzjPgd,0,10,19,White,2,2015
233,R_1gihlwZmXJIBxPc,1,10,20,White,2,2015
234,R_1GIkNlPLY7H4Gne,1,9,19,White,2,2015
235,R_1GIrrhZFeTZKYo5,1,10,21,White,3,2015
236,R_1GITx5FKpb9nEPd,1,9,18,White,1,2016
237,R_1gkGTOQQoAVdWMU,0,10,19,Black,2,2015
238,R_1GKsgozLWsrt8Ke,1,10,18,White,1,2016
239,R_1GLhkgBKr08S3DD,1,10,19,White,1,2015
240,R_1gO492ZijLOi6Va,1,9,18,White,1,2015
241,R_1gOTtG3M3ceJYtt,0,9,19,White,2,2015
242,R_1GPT119cjG2Nkpv,1,10,19,White,1,2016
243,R_1gSY2JD2VKy4tTX,1,9,19,White,1,2015
244,R_1GUhH1oGRqNst2e,0,10,18,White,1,2015
245,R_1gUx2qJzdLxpk7k,1,10,18,,,2015
246,R_1Gvk5a9cYJOuMU8,0,10,19,White,1,2016
247,R_1GvwgrcRVGFPxXC,0,10,19,White,1,2016
248,R_1GwCoAgiKQzcwZo,0,9,18,White,1,2015
249,R_1gwKMAgIJfnJbix,0,9,41,White,1,2016
250,R_1Gwv7gLBj6ynvXW,0,10,19,White,1,2016
251,R_1GxhuDM2Ama2qSg,1,9,22,White,3,2016
252,R_1GZG8S5pZ7v7WKz,0,10,17,Asian,1,2016
253,R_1H0Hi13Z46YT5Yt,1,10,19,White,1,2015
254,R_1H0oCz19uQKWEYr,0,9,19,White,1,2015
255,R_1H2AFomWcO8N61R,0,10,53,Black,2,2016
256,R_1H3RLxr2cGOO3Zj,0,10,20,White,2,2015
257,R_1H5HwRGiX76u7,1,9,21,White,2,2016
258,R_1HblrYCH8WnV2fN,1,9,19,White,1,2015
259,R_1HcEYtyF1wcehEN,1,10,18,White,1,2015
260,R_1Hd8X8ZQwaw11SV,1,10,19,White,1,2016
261,R_1hFubewDR0QiDgW,0,10,18,White,1,2015
262,R_1HhuEvU1ZIXQFdk,1,10,19,White,2,2016
263,R_1HisnZR3hKtWjli,0,10,18,White,1,2016
264,R_1hKAyWCGyOIekdA,1,9,19,White,1,2016
265,R_1hLQqzcVJCuPA1B,1,10,19,White,2,2016
266,R_1hM6oi3Ujmn6UGo,1,10,19,Black,1,2016
267,R_1hNkkdt40v3EIdD,1,10,19,Black,1,2016
268,R_1hQEatc2J0PKqyv,1,10,19,White,1,2016
269,R_1hYg7lJzts21AR1,1,10,18,White,1,2016
270,R_1i3Aj43hQNb81Np,0,10,18,White,1,2015
271,R_1I6FI6B8JxJrMiv,1,9,19,White,1,2016
272,R_1I9OsC0ZtPVXbp1,1,10,18,White,1,2016
273,R_1iagZG0c721CC2K,0,9,19,White,1,2015
274,R_1IB4OkbLR7qjmsl,1,10,19,White,1,2015
275,R_1IcnEwOfmBaVeEr,1,9,20,White,2,2016
276,R_1IdbCXuRFgARSVr,0,10,18,White,1,2015
277,R_1iezpGNJQaQ2l0U,0,10,19,White,1,2015
278,R_1IGFKeZw7IALnoM,1,10,18,White,1,2016
279,R_1igOOHbZA5qeqzr,1,10,18,White,1,2015
280,R_1ihDVbNEpInGfIj,0,10,19,White,1,2015
281,R_1IhfcL2zFG4AS9F,1,9,19,White,1,2016
282,R_1Ii2YOY2uSWsw7W,1,10,18,White,1,2015
283,R_1il2icnDHw21JPj,0,9,19,Black,1,2016
284,R_1Ilm3cfBTGc66rv,1,10,20,White,2,2016
285,R_1Inld7cJtquEURH,1,10,19,Black,1,2016
286,R_1IRBrdwhdpFCxip,1,9,24,White,1,2016
287,R_1irOrqL7AIp6Tv5,0,10,18,White,1,2015
288,R_1IsiErOmtPx9tn0,0,10,18,White,1,2016
289,R_1ISPIdxj0onkn6m,0,9,18,White,1,2015
290,R_1isTLL0DhD98FvX,0,9,18,Black,1,2015
291,R_1itx1AVElYGJULK,1,10,19,White,1,2016
292,R_1IvopLzNuke1JLY,1,10,18,,,2015
293,R_1IW1qBLZKGsCnut,0,10,20,White,3,2016
294,R_1Iz0aEenVCVrMB2,0,9,18,White,1,2015
295,R_1j6BFwQCZRWyr5q,1,10,18,White,1,2015
296,R_1j7awQuOPu40EE1,1,10,19,White,2,2016
297,R_1JDU5uJCjJRGGa7,0,10,19,White,1,2016
298,R_1JE1bjkUBDfL8xM,1,10,20,Black,2,2016
299,R_1JFmFzH9SQqsV2a,1,9,19,White,2,2015
300,R_1jfxuCCGWJHPZIG,0,9,22,,4,2015
301,R_1jg0vYIyHUAW31v,1,9,21,White,3,2015
302,R_1jHx7YnL4eCjaMg,0,9,19,White,1,2015
303,R_1JITq4O2e7Caa3b,0,10,19,White,1,2015
304,R_1jiZQlcrdawuVa8,1,10,18,White,1,2016
305,R_1JK4ahbBWUCNtOS,0,10,19,White,1,2016
306,R_1jkOJPIs79U6E2h,1,10,20,White,2,2015
307,R_1JLcPS81FkeO7gC,0,10,34,White,1,2015
308,R_1jlZUfjUrgL58vx,1,10,18,White,1,2016
309,R_1jPTDpUoFPdfquJ,1,10,24,White,4,2016
310,R_1jUq2cp9ZvBmaAV,0,10,19,White,1,2015
311,R_1jvJaTV6DeDp5jP,1,10,18,White,1,2015
312,R_1JW0SrrkTc42Wd7,1,10,19,Black,1,2016
313,R_1jWja6AYu32wpa5,1,9,18,White,1,2015
314,R_1JWyFe6BMIfqyUY,1,10,18,White,1,2016
315,R_1K1ko7EwDZ2nvkw,0,,,,,2015
316,R_1k20mZYRhxQzKLL,0,10,19,White,1,2015
317,R_1K2hEnEHbhV3z,1,9,20,Other,2,2016
318,R_1K2RQ5Y7pqxE5TG,0,10,19,Other,2,2016
319,R_1Ka1iIicuc19Thu,1,10,18,Multiple,1,2016
320,R_1KdIX4GXuChvf8C,1,10,19,White,1,2016
321,R_1KeSpd6nVJH5q6q,1,10,19,White,1,2016
322,R_1KeWr8oRe3aBbje,0,10,19,Asian,1,2015
323,R_1KeZCwrokoiXVzc,0,10,18,White,1,2015
324,R_1KfMgWGQSCmTRFx,1,10,19,White,1,2016
325,R_1kFzKX7In6Zzycj,1,9,19,White,2,2016
326,R_1kHqyAu3m0wNbbL,1,9,18,White,1,2016
327,R_1kIIfBaU20jQi6w,1,10,19,White,2,2016
328,R_1Kl6xWgGECIX1UA,0,9,22,White,2,2015
329,R_1kMuxN9Cwag6mek,1,9,18,White,1,2015
330,R_1KOI4XFmk7R5Nhr,0,9,18,White,1,2015
331,R_1KqoOh60MdAKofG,1,9,19,White,1,2016
332,R_1KRCFvYQZUwCv2J,0,9,,White,1,2015
333,R_1KUxys1rOvPCK1v,0,10,18,White,1,2015
334,R_1KvGvedcvxBf7YP,0,9,19,White,1,2015
335,R_1kXFzR010QUMrPl,0,10,19,White,2,2015
336,R_1kXh4T1avF70bri,1,10,19,White,1,2016
337,R_1kYPRIRFglm6gEt,1,10,20,White,3,2015
338,R_1L07OVS5UfDdb5X,0,10,18,White,1,2015
339,R_1l64HyyHCRd2CCF,0,9,19,White,1,2015
340,R_1lAkvpeeRBKAWYs,0,9,20,White,2,2015
341,R_1laZ9QO2JcRd79j,0,9,19,White,2,2015
342,R_1Lb7AkOM27oThpl,1,10,21,White,2,2016
343,R_1LcHhyW29O8IZPY,1,10,21,Multiple,5,2015
344,R_1LclrvZMTeEmHmJ,1,10,19,White,1,2016
345,R_1LCy7Wn8UHrnq0R,1,9,21,White,3,2015
346,R_1LDycHa5ZerVIfb,1,10,18,White,1,2015
347,R_1Lg8SIdFlPfvuyF,1,9,20,White,2,2015
348,R_1LGpj3fri9YptnT,1,10,18,White,1,2015
349,R_1LhBKMlarHlsUqp,1,9,20,White,2,2016
350,R_1LI9S3BYpNXdLFz,1,10,18,White,1,2015
351,R_1LIgV0a139JyyhE,1,10,19,White,1,2016
352,R_1llCzar1fvZx3r9,1,10,18,White,1,2016
353,R_1LoeS81Dv1Rbdmr,1,9,,Black,1,2016
354,R_1Lq8f05zeOf4scF,1,9,18,White,1,2016
355,R_1LRMHvtNwhufSH7,1,9,18,White,1,2016
356,R_1LSENSxb1UVoHZ3,0,10,18,White,1,2015
357,R_1lsJ0B0I3bRLy6M,1,9,20,Asian,1,2016
358,R_1LuN3jBxrnGpy,0,10,18,White,1,2015
359,R_1LUSgjqmw8zAuEU,1,10,18,White,1,2015
360,R_1Lw0UIEWv9qwyBl,0,9,19,White,2,2015
361,R_1LwjxbTD7ibFAuA,0,10,22,Other,3,2015
362,R_1LXKAbuX9E7JSfG,1,10,19,White,1,2016
363,R_1LYCxE7QjB7pu7Y,1,10,19,White,2,2016
364,R_1lyRkSItPVZ8JtQ,0,10,19,White,1,2016
365,R_1lzQvhn3tBvDcoF,1,10,19,White,1,2016
366,R_1mEklXheEpmcmgD,0,10,19,White,1,2016
367,R_1mezKhkpbQBwd0V,1,10,20,White,3,2016
368,R_1mgclytSavqJ7Pe,0,9,26,White,2,2016
369,R_1mIxrXpo0a9lMN9,0,9,18,White,1,2015
370,R_1mkFOAYdBzKy3lX,1,10,,,2,2016
371,R_1mKP9BXQw6rS7C9,1,10,18,White,1,2015
372,R_1MKsMLK7HWvdE8J,1,9,19,Black,1,2015
373,R_1mKwpX674YwFypm,1,10,19,White,1,2016
374,R_1MKXxfdckZn4rWz,1,9,22,Other,1,2016
375,R_1mlyT6iteBnxA5o,0,,,,,2015
376,R_1mOvDbmBVM84gTh,0,9,21,White,3,2015
377,R_1MPSPSyJMP60Csx,1,9,21,White,4,2016
378,R_1MQEcRG0hG9s12Q,1,10,19,White,1,2016
379,R_1MREtMMhxrXXXXj,0,9,18,White,1,2015
380,R_1MRG3xvd1vmmV19,1,10,18,White,1,2016
381,R_1mRylElFxDm5eUF,0,10,19,White,2,2015
382,R_1MW1dSqeoMhX7C9,1,9,19,White,1,2015
383,R_1mwPs3H7NfrHZPo,1,10,19,White,1,2016
384,R_1mx6tHqIEy2ZXta,0,10,,White,1,2015
385,R_1MXwfnC1qfKXpS2,1,10,18,White,1,2016
386,R_1MYgI12Gpjf8Dgy,1,10,18,White,1,2015
387,R_1mztdtFMEhsherH,0,10,18,White,1,2015
388,R_1n0m25myg4RGQI5,1,10,18,White,1,2016
389,R_1N32gVF9A8QHHgF,0,9,20,White,3,2015
390,R_1N3vDGjKZLRPctT,1,10,18,Black,1,2016
391,R_1n6LpLkPhQMmLHB,0,9,20,White,2,2015
392,R_1N8FY3fNFvBGF3C,1,10,18,White,1,2016
393,R_1Nb43sHLokPOS4l,1,9,20,Other,1,2016
394,R_1NdCar8ONfQdyex,1,10,19,White,1,2015
395,R_1NFjaNlelPdGKkl,1,10,18,White,1,2015
396,R_1NfPgMbEgm1HY7B,1,10,20,White,2,2016
397,R_1nMxYqlSaQsuo4j,1,10,37,White,2,2016
398,R_1nNMl3CU6nD3Bex,0,9,18,White,1,2015
399,R_1nNsKFjTdX3pb4F,0,9,18,White,1,2015
400,R_1NntNROTYLGkqZa,1,10,18,White,1,2016
401,R_1nPWaLlMoS4bUh4,1,9,19,White,2,2016
402,R_1NqY85Acu3Yn6sZ,0,10,18,White,1,2015
403,R_1NylsKzYQnlVami,1,10,18,Black,1,2016
404,R_1NzuPBt3csEyGgB,1,10,18,White,1,2015
405,R_1o0eqNrdLBohRqb,0,9,19,White,1,2015
406,R_1o29xXrSWsfsbxy,1,10,18,Black,1,2016
407,R_1oAs3ObIDCfMNrC,0,10,18,White,1,2015
408,R_1oBFPxC5UANDpQc,1,9,19,White,1,2016
409,R_1OBwscKM6UxLUE2,0,10,20,White,4,2015
410,R_1obX5gK4JD3csFw,1,9,19,White,1,2016
411,R_1ODIOUeOXS497qB,1,10,19,Multiple,1,2016
412,R_1odva2B4akJZA,0,10,20,Other,2,2015
413,R_1oG6g1kYOUhGOzZ,1,10,19,White,1,2016
414,R_1ojpiwswE1WaNKD,1,10,18,White,1,2016
415,R_1Oknw0INh3MPmN7,1,9,18,White,1,2015
416,R_1OMGGf5z1MjRaN1,1,10,19,White,2,2016
417,R_1OoVmN7lNzN4FvY,1,10,18,White,1,2016
418,R_1oq18Je5DFUV0rr,1,10,20,White,2,2016
419,R_1Or9Lr65YVXEo0U,0,9,18,White,1,2015
420,R_1OT6VH8mfykhXrW,1,9,20,White,2,2016
421,R_1OUov58dsXxF8Wq,1,9,25,White,2,2015
422,R_1ouSsTg61gaJeQM,1,10,18,White,1,2015
423,R_1Ouz7rsgGeGtt0N,0,10,18,White,1,2015
424,R_1OZC1d1nmti4zE2,1,9,19,White,1,2016
425,R_1OZh2jTHA843iNX,0,9,19,White,1,2016
426,R_1P0kznbwrKjAczG,1,9,23,Asian,3,2016
427,R_1P5IKq4NWzEXjUi,1,10,18,White,1,2015
428,R_1P7PmwuPlp3Rj,1,10,19,White,1,2016
429,R_1P7UNiUw7LS4Sus,1,9,19,White,1,2016
430,R_1pALhzV2Ue4T9YW,1,10,19,White,1,2016
