,V1,Source,Gender,Age,Ethnicity,YearinSchool,YEAR
1,R_00dDd6Pb1EylBXL,1,9,18,White,1,2015
2,R_01ga0ctgD2jgUh7,1,10,22,Black,3,2015
3,R_0213BnZ2Nqyxd3L,1,9,20,Black,2,2015
4,R_021fCdNZaIZiVr7,1,9,,White,2,2015
5,R_02oFXLHqmnF4HeN,1,10,19,White,2,2016
6,R_06rEksFD7s3mjUF,0,10,19,White,2,2015
7,R_06RY3zB3T4csLg9,0,10,18,White,1,2015
8,R_06VbU6stxZMj9at,1,10,19,White,1,2015
9,R_06Vfqs3qW1XOqSV,1,9,23,White,2,2015
10,R_06WJgtPtP44M3E9,1,10,20,White,3,2015
11,R_07HgB5MDLLMVLNv,0,10,18,Black,1,2016
12,R_07lpgbn4whjN4aZ,0,9,28,Other,1,2015
13,R_080uMoDl5j9khnv,0,9,21,White,2,2015
14,R_08lxocwFO0zaNj7,1,9,19,White,1,2015
15,R_08nW9nInmDFRsnH,1,9,18,White,1,2015
16,R_08r7maIWvJBdv37,1,10,18,White,1,2015
17,R_094oeqamVkk4b8V,1,10,20,Asian,1,2015
18,R_0AFsjr073d8xOL3,1,9,19,White,1,2015
19,R_0ApFjLski3fg7LT,0,10,22,White,2,2015
20,R_0BBUIk2Xfgv5mkd,0,10,18,White,1,2015
21,R_0BVeCy6LCPq9nF3,0,10,18,Multiple,1,2015
22,R_0cfOJNCsStanZ6l,1,10,19,White,2,2015
23,R_0ChsRtYSZBjCNVj,1,10,18,White,1,2015
24,R_0cYsHL3c7yxsrNX,0,10,21,Asian,5,2015
25,R_0D266McY1OmPKYZ,1,9,18,White,1,2015
26,R_0D2cCtB2aaiEiZn,0,10,20,White,3,2015
27,R_0D7up01nkBtbSND,0,10,19,Asian,2,2015
28,R_0dBletlrLvsYd3j,0,9,18,White,1,2015
29,R_0DL7lgqzBx8YoDz,1,10,19,White,1,2015
30,R_0dqY1fyz3PgYDzL,1,10,19,White,1,2015
31,R_0e8aWSd3BDH2BOl,0,10,19,White,2,2015
32,R_0ffGmq75WDdBEk5,1,9,19,White,2,2015
33,R_0fI3VbaUY3i0ZPT,0,10,18,White,1,2015
34,R_0Gmi4ehDOVEn3Ux,1,10,20,White,2,2016
35,R_0GqrNcJ1vGzXLWB,1,9,20,White,2,2015
36,R_0Gwuu0QxSAMxiPr,1,10,19,White,1,2015
37,R_0H7vEiFNGzhQsnz,1,10,28,Asian,4,2015
38,R_0H8rdix2DQCWiG1,1,10,19,Asian,1,2015
39,R_0HEy405dHQ969Vz,1,10,20,White,2,2015
40,R_0HOHhU5txph0MUR,1,9,19,White,1,2015
41,R_0HVZxcqPDxPURAR,1,10,19,White,1,2016
42,R_0IA0g46QEPhGwux,1,10,18,White,1,2015
43,R_0iBIhR5XEOCWFZb,1,10,23,White,3,2015
44,R_0iDFfGuqxgVfDyl,0,10,18,White,1,2015
45,R_0iGdAkFAQAf15V7,1,10,19,White,2,2016
46,R_0IIWkJTKBeKBcjP,0,10,18,Black,1,2015
47,R_0JaXO8kiZV6aPWZ,0,9,22,White,4,2015
48,R_0JS9BgFyuF66Zb7,1,10,20,White,2,2015
49,R_0kd8bZsdIk6Eo7j,1,9,18,White,1,2015
50,R_0keyvbKpck3X8IB,1,10,18,White,1,2015
51,R_0kMFLoLwlUuzSdX,0,9,19,White,1,2015
52,R_0l9O99F4TJFBfal,1,10,19,White,2,2015
53,R_0lfVqgXbusApokl,1,10,18,Other,1,2015
54,R_0NVTFyKY5KifT13,1,10,19,White,2,2015
55,R_0NwV1sTYhZ3AsSh,1,10,18,White,1,2015
56,R_0OjYtRz2vRCTPQp,1,10,18,White,1,2015
57,R_0oow0nXCWaNg1P7,1,9,21,White,3,2015
58,R_0OrcYUi1CRSwwsJ,1,9,,,1,2015
59,R_0OrZPJWX86Dm5Uh,1,9,18,White,1,2015
60,R_0P07yhP5g2Q5C1n,0,9,21,White,4,2015
61,R_0Pa6KSVd42thMVv,1,9,20,White,2,2015
62,R_0PcUS390A12w6cR,1,10,19,White,1,2015
63,R_0Pdc16ccYo9ifxb,0,10,18,White,1,2015
64,R_0pLv6i1iH5t85iB,1,10,18,White,1,2015
65,R_0pSNVE318diQC1b,1,10,20,White,2,2015
66,R_0PWPYbV1ijvGBuJ,1,10,18,White,1,2015
67,R_0qbsVxgmLSEoOnH,1,10,20,White,2,2015
68,R_0qg3I0CamwoFLUN,1,9,30,White,1,2015
69,R_0qv4NSwHHpBrGkV,1,9,22,White,4,2016
70,R_0qw8oqin3v8Y0hD,1,10,18,White,1,2015
71,R_0qWfswzoz4nUwQZ,1,10,18,White,1,2015
72,R_0qxmi8fgvzyiT65,1,,,,,2015
73,R_0rDpRa3Fy7PiukR,1,9,19,White,2,2015
74,R_0SOYglMwHIQZUfH,0,9,19,White,2,2015
75,R_0SQeqip4xl1bEC9,0,10,55,White,2,2015
76,R_0SRNferwBvodte1,1,9,18,White,1,2016
77,R_0SryrAlwB4eIKGx,1,9,18,White,1,2015
78,R_0StcAxALSpqJ2SN,1,10,18,White,1,2016
79,R_0SvPY1OOuxKeZah,0,9,18,Multiple,1,2015
80,R_0TkZ2HMuwTYcwhn,1,10,19,White,1,2015
81,R_0TUeR2uslixl3fX,1,9,19,Black,1,2016
82,R_0TUVMnsWB6p3d8F,1,10,18,Multiple,1,2015
83,R_0U81UivqMHUeXjf,0,9,18,White,1,2015
84,R_0uCEQkPoPTvnmIt,1,10,18,Other,1,2015
85,R_0UJDF8pOWQnJtUF,1,9,19,White,1,2015
86,R_0ULfDuShHhp7J0B,1,10,19,Black,1,2016
87,R_0v0JcmvNwbwsX4x,1,10,19,White,1,2015
88,R_0v3mEbp6UQseSiN,1,10,19,White,1,2015
89,R_0vlW7mQQ1yuqlNf,1,9,23,Other,1,2016
90,R_0vqBJIEgHhQEaix,0,10,21,White,3,2015
91,R_0vQCfWyNXDPnS6h,1,9,19,White,1,2015
92,R_0Vzqa4USEVyTATb,1,9,19,White,2,2015
93,R_0wDbFL4UHZo5ypT,1,10,18,White,1,2015
94,R_0wyXNdPf9tVheZf,0,10,,White,1,2015
95,R_0x0PVWy8v1tDv6d,1,9,19,White,1,2015
96,R_0xOaZgFzpw2QF9P,1,9,19,White,2,2015
97,R_0xpE6L1UckjwhGB,1,10,30,,4,2015
98,R_10AwJO82Bhfgf47,0,10,20,White,2,2015
99,R_10JBbfTFCVNkMqk,1,10,24,White,2,2016
100,R_10Np06ht39JbVUq,1,10,19,White,1,2016
101,R_10o12MvwUzlwbw4,1,10,18,White,1,2016
102,R_10TKzpbMnjYtesE,0,10,20,White,2,2015
103,R_10xFkdNxJqgFLcB,0,9,19,White,1,2016
104,R_110Wt8V2ZaJiuMV,1,9,20,White,2,2016
105,R_114lC4uzsds01bC,0,9,21,Asian,3,2015
106,R_115zSnRyQmTexJB,1,,,,,2016
107,R_11gVARkCh4afhPZ,1,10,18,White,1,2015
108,R_11jNS5w6G18aFey,0,10,18,Black,1,2015
109,R_11WONJNjCM2Q8nt,1,10,18,White,1,2015
110,R_11Zx8cXDeyiF6J3,0,10,19,White,2,2015
111,R_125p1iXIQppTe3S,1,10,18,White,1,2016
112,R_125YdVuXtUIGVRn,1,10,19,White,1,2016
113,R_12a1R7kpOr0mstY,0,9,18,White,1,2015
114,R_12AbsokI3vQnKu4,1,10,18,White,1,2015
115,R_12ceo21YmSnspTZ,1,10,20,White,2,2016
116,R_12D1hsz7ViWalwx,0,10,18,White,1,2015
