"","PIL1","PIL2","PIL3","PIL4","PIL5","PIL6","PIL7","PIL8","PIL9","PIL10","PIL11","PIL12","PIL13","PIL14","PIL15","PIL16","PIL17","PIL18","PIL19","PIL20"
"PIL1",-0.0215881259500984,-1.22509496598628,0.0554927567958699,0.0448953480143043,-0.416470902583445,-0.0271996834464895,0.413225056394412,-0.0988168111061354,0.179991176203603,0.166599156299667,-0.440363589410783,-0.699028670681464,-0.0951011413348044,0.731184127513631,1.53323549996116,-0.90352363286125,-0.420861780405983,0.708690327648576,-0.00892172588922484,-0.104232523324604
"PIL2",-1.22509496598628,0.164388779191342,-0.67142370516592,-0.826514343911775,0.0717116625204634,0.233635639174334,0.607644587938887,-0.458891875923678,-0.670935272995008,-0.379079859052468,-0.281963499342782,-0.193591032802151,-0.633790292529748,0.0911831416601105,1.14981255359477,-0.773408828023817,-0.436554091361364,-0.60757549222108,-0.649467850482713,-0.963902865391292
"PIL3",0.0554927567958699,-0.67142370516592,-0.225463909340993,-0.200172610634526,-0.369563604026518,-0.202907933552777,0.0109602631032741,0.140338311055908,-0.0946590165757496,0.0703926855988722,0.0195633162685742,-0.228880048381106,0.0458999171179158,-0.262250391286123,0.537786049110082,-0.0691128183288895,-0.168053788400168,-0.420942320534455,0.406427984836504,-0.105693906208514
"PIL4",0.0448953480143043,-0.826514343911775,-0.200172610634526,-0.185734838635815,-0.465334086800985,0.522645340312672,0.329421444229681,0.129709964802219,0.090500015999701,0.512538655668027,-0.0126639477772872,0.4878307407449,-0.55567839232013,0.118924213846089,1.05189056585905,-0.349446584489324,-0.146886282821343,0.244669579149166,0.34758749423797,-0.00815517443027169
"PIL5",-0.416470902583445,0.0717116625204634,-0.369563604026518,-0.465334086800985,-0.0010717907299033,0.137463996225469,0.749044237560481,-0.437577814959883,-0.469188908489526,-0.283457558974929,-0.29602528929193,-0.452495197564861,-0.0867376481111541,0.558522439171313,1.61438442691116,-0.49368606868116,-0.486171116003733,0.334180684693225,-0.376514452854263,-0.583399234821909
"PIL6",-0.0271996834464895,0.233635639174334,-0.202907933552777,0.522645340312672,0.137463996225469,1.13214288390437,0.243281896335344,0.103317317569493,0.303263139700645,1.096910665165,0.670820625229811,1.31884126968793,-0.127310789223718,-0.188747759245648,1.64774281190076,0.194612807874754,0.51542930433475,0.339326483177068,0.338914418768123,0.348682168151638
"PIL7",0.413225056394412,0.607644587938887,0.0109602631032741,0.329421444229681,0.749044237560481,0.243281896335344,1.96436388367534,0.252327977300627,0.0585538391833794,0.62759983962123,0.663001392860094,0.388299187081061,-0.329144838761394,0.925823410327178,0.67751376141774,0.805706899813431,1.33351120511778,0.501779301627693,1.38441326887815,0.0584203252842272
"PIL8",-0.0988168111061354,-0.458891875923678,0.140338311055908,0.129709964802219,-0.437577814959883,0.103317317569493,0.252327977300627,0.579318399951677,0.168791837074892,0.295256261586841,-0.0350391330792383,0.159161508111621,-0.16938272833736,0.226570816716279,0.934494402038967,-0.143750400285814,-0.178052706653145,0.126520363075425,0.407707860024548,-0.06790737198507
"PIL9",0.179991176203603,-0.670935272995008,-0.0946590165757496,0.090500015999701,-0.469188908489526,0.303263139700645,0.0585538391833794,0.168791837074892,0.231804340436152,0.439434109765383,-0.0417433730738862,0.207947616641635,-0.169878586734669,0.301337686052798,1.06555688550126,-0.849572251874944,0.0548947362111281,0.167282555897193,-0.0420911853376618,-0.00915447540733653
"PIL10",0.166599156299667,-0.379079859052468,0.0703926855988722,0.512538655668027,-0.283457558974929,1.096910665165,0.62759983962123,0.295256261586841,0.439434109765383,0.705981613755224,0.88333801287863,1.37715449318824,-0.389401651695015,1.01289315691712,1.16524994600178,0.284210790507839,0.495467677571715,0.819633393917765,0.731605798903274,0.468493057961541
"PIL11",-0.440363589410783,-0.281963499342782,0.0195633162685742,-0.0126639477772872,-0.29602528929193,0.670820625229811,0.663001392860094,-0.0350391330792383,-0.0417433730738862,0.88333801287863,0.122247204889918,1.47934403020533,-0.444820862001077,0.0714316327456108,1.25954484537144,-0.911109677441254,0.0927957979239636,0.917059954721024,0.691320574058175,0.404779221706639
"PIL12",-0.699028670681464,-0.193591032802151,-0.228880048381106,0.4878307407449,-0.452495197564861,1.31884126968793,0.388299187081061,0.159161508111621,0.207947616641635,1.37715449318824,1.47934403020533,0.444873037297849,0.0300133480043086,-1.06884201688207,0.779499180311552,0.662602436858472,0.365600422844206,0.22419565442791,0.268394622885905,0.868426040358062
"PIL13",-0.0951011413348044,-0.633790292529748,0.0458999171179158,-0.55567839232013,-0.0867376481111541,-0.127310789223718,-0.329144838761394,-0.16938272833736,-0.169878586734669,-0.389401651695015,-0.444820862001077,0.0300133480043086,-0.318647682664421,-0.0515335554808952,0.141756677940761,-0.300947471439668,0.168732269573917,-0.242266733954708,0.171866665586164,0.0234209388784689
"PIL14",0.731184127513631,0.0911831416601105,-0.262250391286123,0.118924213846089,0.558522439171313,-0.188747759245648,0.925823410327178,0.226570816716279,0.301337686052798,1.01289315691712,0.0714316327456108,-1.06884201688207,-0.0515335554808952,2.25618727157448,0.765942806356715,-0.272726155515124,0.415581046858434,-0.215165812629465,0.641145934023256,0.018342721297132
"PIL15",1.53323549996116,1.14981255359477,0.537786049110082,1.05189056585905,1.61438442691116,1.64774281190076,0.67751376141774,0.934494402038967,1.06555688550126,1.16524994600178,1.25954484537144,0.779499180311552,0.141756677940761,0.765942806356715,-1.11449882354899,0.95153897596126,1.50314887376659,0.876888886038371,1.67088026598638,0.43688419341228
"PIL16",-0.90352363286125,-0.773408828023817,-0.0691128183288895,-0.349446584489324,-0.49368606868116,0.194612807874754,0.805706899813431,-0.143750400285814,-0.849572251874944,0.284210790507839,-0.911109677441254,0.662602436858472,-0.300947471439668,-0.272726155515124,0.95153897596126,-2.12183141245587,0.356823288163132,0.989318111266355,0.0223508560186864,0.418679723422413
"PIL17",-0.420861780405983,-0.436554091361364,-0.168053788400168,-0.146886282821343,-0.486171116003733,0.51542930433475,1.33351120511778,-0.178052706653145,0.0548947362111281,0.495467677571715,0.0927957979239636,0.365600422844206,0.168732269573917,0.415581046858434,1.50314887376659,0.356823288163132,0.137967838771473,1.53012924399567,1.35211798902683,-0.233064056843685
"PIL18",0.708690327648576,-0.60757549222108,-0.420942320534455,0.244669579149166,0.334180684693225,0.339326483177068,0.501779301627693,0.126520363075425,0.167282555897193,0.819633393917765,0.917059954721024,0.22419565442791,-0.242266733954708,-0.215165812629465,0.876888886038371,0.989318111266355,1.53012924399567,1.69215736884634,1.15473621272707,0.647061241674267
"PIL19",-0.00892172588922484,-0.649467850482713,0.406427984836504,0.34758749423797,-0.376514452854263,0.338914418768123,1.38441326887815,0.407707860024548,-0.0420911853376618,0.731605798903274,0.691320574058175,0.268394622885905,0.171866665586164,0.641145934023256,1.67088026598638,0.0223508560186864,1.35211798902683,1.15473621272707,0.512629377496436,0.820226260481696
"PIL20",-0.104232523324604,-0.963902865391292,-0.105693906208514,-0.00815517443027169,-0.583399234821909,0.348682168151638,0.0584203252842272,-0.06790737198507,-0.00915447540733653,0.468493057961541,0.404779221706639,0.868426040358062,0.0234209388784689,0.018342721297132,0.43688419341228,0.418679723422413,-0.233064056843685,0.647061241674267,0.820226260481696,-0.360319216644
