"","group","total"
"1","not","114"
"2","not","111"
"3","not","103"
"4","not","71"
"5","not","130"
"6","not","104"
"7","not","101"
"8","not","78"
"9","not","103"
"10","not","103"
"11","not","118"
"12","not","108"
"13","not","104"
"14","not","119"
"15","not","126"
"16","not","99"
"17","not","104"
"18","not","82"
"19","not","135"
"20","not","96"
"21","not","92"
"22","not","99"
"23","not","101"
"24","not","134"
"25","not","113"
"26","not","119"
"27","not","90"
"28","not","94"
"29","not","113"
"30","not","106"
"31","not","136"
"32","not","80"
"33","not","108"
"34","not","90"
"35","not","121"
"36","not","125"
"37","not","116"
"38","not","93"
"39","not","101"
"40","not","111"
"41","not","85"
"42","not","121"
"43","not","91"
"44","not","104"
"45","not","115"
"46","not","88"
"47","not","84"
"48","not","85"
"49","not","79"
"50","not","88"
"51","not","75"
"52","not","132"
"53","not","124"
"54","not","50"
"55","not","113"
"56","not","96"
"57","not","99"
"58","not","133"
"59","not","71"
"60","not","119"
"61","not","109"
"62","not","105"
"63","not","112"
"64","not","110"
"65","not","130"
"66","not","124"
"67","not","129"
"68","not","131"
"69","not","76"
"70","not","114"
"71","not","129"
"72","not","123"
"73","not","128"
"74","not","99"
"75","not","87"
"76","not","128"
"77","not","119"
"78","not","127"
"79","not","124"
"80","not","86"
"81","not","90"
"82","not","96"
"83","not","117"
"84","not","103"
"85","not","96"
"86","not","118"
"87","not","109"
"88","not","87"
"89","not","116"
"90","not","123"
"91","not","102"
"92","not","84"
"93","not","110"
"94","not","112"
"95","not","131"
"96","not","123"
"97","not","113"
"98","not","126"
"99","not","129"
"100","not","74"
"101","not","71"
"102","not","110"
"103","not","119"
"104","not","93"
"105","not","112"
"106","not","104"
"107","not","132"
"108","not","95"
"109","not","96"
"110","not","114"
"111","not","120"
"112","not","106"
"113","not","130"
"114","not","81"
"115","not","114"
"116","not","138"
"117","not","110"
"118","not","117"
"119","not","125"
"120","not","114"
"121","not","112"
"122","not","123"
"123","not","76"
"124","not","107"
"125","not","104"
"126","not","97"
"127","not","106"
"128","not","85"
"129","not","121"
"130","not","131"
"131","not","119"
"132","not","103"
"133","not","105"
"134","not","110"
"135","not","107"
"136","not","106"
"137","not","109"
"138","not","80"
"139","not","101"
"140","not","126"
"141","not","109"
"142","not","82"
"143","not","113"
"144","not","109"
"145","not","124"
"146","not","73"
"147","not","111"
"148","not","92"
"149","not","132"
"150","not","136"
"151","not","80"
"152","not","84"
"153","not","107"
"154","not","100"
"155","not","87"
"156","not","108"
"157","not","75"
"158","not","72"
"159","not","91"
"160","not","116"
"161","not","112"
"162","not","93"
"163","not","125"
"164","not","87"
"165","not","129"
"166","not","82"
"167","not","100"
"168","not","121"
"169","not","100"
"170","not","123"
"171","not","105"
"172","not","89"
"173","not","108"
"174","not","114"
"175","not","103"
"176","not","123"
"177","not","69"
"178","not","123"
"179","not","126"
"180","not","119"
"181","not","91"
"182","not","89"
"183","not","128"
"184","not","126"
"185","not","91"
"186","not","85"
"187","not","44"
"188","not","103"
"189","not","138"
"190","not","135"
"191","not","96"
"192","not","118"
"193","not","103"
"194","not","123"
"195","not","98"
"196","not","87"
"197","not","118"
"198","not","77"
"199","not","121"
"200","not","77"
"201","not","114"
"202","not","120"
"203","not","123"
"204","not","81"
"205","not","105"
"206","not","107"
"207","not","131"
"208","not","117"
"209","not","116"
"210","not","57"
"211","not","103"
"212","not","121"
"213","not","102"
"214","not","89"
"215","not","113"
"216","not","102"
"217","not","124"
"218","not","131"
"219","not","109"
"220","not","20"
"221","not","103"
"222","not","110"
"223","not","98"
"224","not","100"
"225","not","101"
"226","not","110"
"227","not","84"
"228","not","114"
"229","not","96"
"230","not","88"
"231","not","69"
"232","not","88"
"233","not","67"
"234","not","92"
"235","not","85"
"236","not","98"
"237","not","122"
"238","not","126"
"239","not","114"
"240","not","119"
"241","not","124"
"242","not","91"
"243","not","112"
"244","not","123"
"245","not","90"
"246","not","94"
"247","not","100"
"248","not","80"
"249","not","97"
"250","not","82"
"251","not","122"
"252","not","72"
"253","not","128"
"254","not","98"
"255","not","100"
"256","not","126"
"257","not","83"
"258","not","83"
"259","not","125"
"260","not","105"
"261","not","125"
"262","not","105"
"263","not","126"
"264","not","110"
"265","not","126"
"266","not","100"
"267","not","117"
"268","not","127"
"269","not","118"
"270","not","80"
"271","not","136"
"272","not","80"
"273","not","111"
"274","not","113"
"275","not","115"
"276","not","116"
"277","not","64"
"278","not","104"
"279","not","106"
"280","not","111"
"281","not","136"
"282","not","110"
