"","group","total"
"283","not","127"
"284","not","110"
"285","not","117"
"286","not","56"
"287","not","113"
"288","not","87"
"289","not","86"
"290","not","97"
"291","not","136"
"292","not","127"
"293","not","99"
"294","not","103"
"295","not","125"
"296","not","70"
"297","not","91"
"298","not","140"
"299","not","116"
"300","not","116"
"301","not","85"
"302","not","126"
"303","not","115"
"304","not","67"
"305","not","107"
"306","not","108"
"307","not","84"
"308","not","64"
"309","not","90"
"310","not","125"
"311","not","115"
"312","not","108"
"313","not","131"
"314","not","94"
"315","not","129"
"316","not","100"
"317","not","92"
"318","not","72"
"319","not","78"
"320","not","67"
"321","not","125"
"322","not","74"
"323","not","89"
"324","not","112"
"325","not","96"
"326","not","73"
"327","not","119"
"328","not","113"
"329","not","134"
"330","not","83"
"331","not","79"
"332","not","102"
"333","not","114"
"334","not","93"
"335","not","130"
"336","not","98"
"337","not","124"
"338","not","69"
"339","not","120"
"340","not","121"
"341","not","90"
"342","not","114"
"343","not","80"
"344","not","86"
"345","not","127"
"346","not","104"
"347","not","99"
"348","not","78"
"349","not","98"
"350","not","109"
"351","not","117"
"352","not","123"
"353","not","105"
"354","not","100"
"355","not","91"
"356","not","81"
"357","not","80"
"358","not","121"
"359","not","104"
"360","not","114"
"361","not","102"
"362","not","119"
"363","not","112"
"364","not","116"
"365","not","111"
"366","not","103"
"367","not","87"
"368","not","115"
"369","not","113"
"370","not","95"
"371","not","96"
"372","not","85"
"373","not","107"
"374","not","119"
"375","not","89"
"376","not","113"
"377","not","112"
"378","not","80"
"379","not","105"
"380","not","87"
"381","not","127"
"382","not","98"
"383","not","95"
"384","not","88"
"385","not","122"
"386","not","108"
"387","not","85"
"388","not","123"
"389","not","98"
"390","not","89"
"391","not","80"
"392","not","121"
"393","not","128"
"394","not","91"
"395","not","108"
"396","not","135"
"397","not","112"
"398","not","136"
"399","not","116"
"400","not","48"
"401","not","100"
"402","not","104"
"403","not","116"
"404","not","132"
"405","not","96"
"406","not","121"
"407","not","88"
"408","not","103"
"409","not","119"
"410","not","79"
"411","not","108"
"412","not","122"
"413","not","117"
"414","not","102"
"415","not","96"
"416","not","112"
"417","not","99"
"418","not","97"
"419","not","121"
"420","not","113"
"421","not","113"
"422","not","106"
"423","not","117"
"424","not","90"
"425","not","103"
"426","not","123"
"427","not","123"
"428","not","89"
"429","not","118"
"430","not","99"
"431","not","80"
"432","not","84"
"433","not","95"
"434","not","82"
"435","not","131"
"436","not","129"
"437","not","107"
"438","not","108"
"439","not","85"
"440","not","121"
"441","not","105"
"442","not","110"
"443","not","101"
"444","not","106"
"445","not","113"
"446","not","85"
"447","not","98"
"448","not","119"
"449","not","120"
"450","not","104"
"451","not","101"
"452","not","126"
"453","not","110"
"454","not","125"
"455","not","77"
"456","not","116"
"457","not","122"
"458","not","98"
"459","not","93"
"460","not","88"
"461","not","122"
"462","not","77"
"463","not","76"
"464","not","107"
"465","not","109"
"466","not","101"
"467","not","114"
"468","not","105"
"469","not","126"
"470","not","117"
"471","not","104"
"472","not","98"
"473","not","75"
"474","not","89"
"475","not","87"
"476","not","123"
"477","not","135"
"478","not","118"
"479","not","50"
"480","not","113"
"481","not","106"
"482","not","95"
"483","not","99"
"484","not","125"
"485","not","118"
"486","not","89"
"487","not","83"
"488","not","111"
"489","not","123"
"490","not","83"
"491","not","107"
"492","not","127"
"493","not","95"
"494","not","103"
"495","not","80"
"496","not","88"
"497","not","112"
"498","not","76"
"499","not","127"
"500","not","87"
"501","not","123"
"502","not","120"
"503","not","113"
"504","not","108"
"505","not","115"
"506","not","112"
"507","not","122"
"508","not","128"
"509","not","121"
"510","not","110"
"511","not","108"
"512","not","112"
"513","not","86"
"514","not","72"
"515","not","89"
"516","not","114"
"517","not","115"
"518","not","80"
"519","not","122"
"520","not","115"
"521","not","98"
"522","not","87"
"523","not","80"
"524","not","137"
"525","not","121"
"526","not","91"
"527","not","94"
"528","not","109"
"529","not","84"
"530","not","81"
"531","not","100"
"532","not","109"
"533","not","110"
"534","not","123"
"535","not","122"
"536","not","91"
"537","not","89"
"538","not","128"
"539","not","112"
"540","not","121"
"541","not","132"
"542","not","96"
"543","not","108"
"544","not","78"
"545","not","108"
"546","not","86"
"547","not","106"
"548","not","97"
"549","not","140"
"550","not","107"
"551","not","114"
"552","not","52"
"553","not","99"
"554","not","122"
"555","not","101"
"556","not","80"
"557","not","110"
"558","not","111"
"559","not","113"
"560","not","100"
"561","not","117"
"562","not","116"
"563","not","87"
"564","not","92"
"565","not","85"
"566","not","127"
"567","not","113"
"568","not","96"
"569","not","102"
"570","not","117"
"571","not","86"
"572","not","87"
"573","not","98"
"574","not","115"
"575","not","105"
"576","not","85"
"577","not","95"
"578","not","108"
"579","not","130"
"580","not","84"
"581","not","93"
"582","not","109"
"583","not","132"
"584","not","107"
"585","not","114"
"586","not","48"
"587","not","106"
"588","not","80"
"589","not","79"
"590","not","74"
"591","not","117"
"592","not","110"
"593","not","107"
"594","not","123"
"595","not","80"
"596","not","80"
"597","not","98"
"598","not","113"
"599","not","103"
"600","not","121"
"601","not","92"
"602","not","106"
"603","not","114"
"604","not","50"
"605","not","89"
"606","not","84"
"607","not","106"
"608","not","107"
"609","not","105"
"610","not","96"
"611","not","112"
"612","not","117"
"613","not","101"
"614","not","60"
"615","not","122"
"616","not","96"
"617","not","93"
"618","not","114"
"619","not","85"
"620","not","124"
"621","not","128"
"622","not","99"
"623","not","135"
"624","not","126"
"625","not","126"
"626","not","93"
"627","not","90"
"628","not","103"
"629","not","81"
"630","not","107"
"631","not","89"
"632","not","82"
"633","not","82"
"634","not","81"
"635","not","105"
"636","not","104"
"637","not","81"
"638","not","75"
"639","not","108"
"640","not","114"
"641","not","103"
"642","not","90"
"643","not","126"
"644","not","105"
"645","not","117"
"646","not","128"
"647","not","107"
"648","not","126"
"649","not","98"
"650","not","87"
"651","not","124"
"652","not","77"
"653","not","87"
"654","not","84"
"655","not","68"
"656","not","67"
"657","not","82"
"658","not","120"
"659","not","118"
"660","not","82"
"661","not","90"
"662","not","101"
"663","not","90"
"664","not","104"
"665","not","85"
"666","not","84"
"667","not","99"
"668","not","77"
"669","not","93"
"670","not","79"
"671","not","83"
"672","not","76"
"673","not","113"
"674","not","108"
"675","not","103"
"676","not","107"
"677","not","90"
"678","not","118"
"679","not","85"
"680","not","90"
"681","not","83"
"682","not","105"
"683","not","126"
"684","not","80"
"685","not","116"
"686","not","128"
"687","not","95"
"688","not","91"
"689","not","79"
"690","not","80"
"691","not","101"
"692","not","102"
"693","not","112"
"694","not","128"
"695","not","94"
"696","not","90"
"697","not","96"
"698","not","83"
"699","not","130"
"700","not","84"
"701","not","76"
"702","not","97"
"703","not","90"
"704","not","101"
"705","not","80"
"706","not","73"
"707","not","78"
"708","not","77"
"709","not","100"
"710","not","112"
"711","not","80"
"712","not","100"
"713","not","91"
"714","not","78"
"715","not","110"
"716","not","80"
"717","not","120"
"718","not","91"
"719","not","117"
"720","not","80"
"721","not","97"
"722","not","112"
"723","not","87"
"724","not","71"
"725","not","86"
"726","not","109"
"727","not","91"
"728","not","121"
"729","not","121"
"730","not","102"
"731","not","80"
"732","not","82"
"733","not","106"
"734","not","77"
"735","not","126"
"736","not","95"
"737","not","118"
"738","not","104"
"739","not","98"
"740","not","107"
"741","not","119"
"742","not","98"
"743","not","109"
"744","not","85"
"745","not","115"
"746","not","85"
"747","not","97"
"748","not","128"
"749","not","103"
"750","not","120"
"751","not","108"
"752","not","70"
"753","not","88"
"754","not","117"
"755","not","121"
"756","not","118"
"757","not","61"
"758","not","99"
"759","not","85"
"760","not","116"
"761","not","84"
"762","not","120"
"763","not","112"
"764","not","109"
"765","not","85"
"766","not","115"
"767","not","118"
"768","not","124"
"769","not","92"
"770","not","103"
"771","not","94"
"772","not","94"
"773","not","107"
"774","not","85"
"775","not","68"
"776","not","113"
"777","not","122"
"778","not","119"
"779","not","110"
"780","not","86"
"781","not","102"
"782","not","110"
"783","not","80"
"784","not","97"
"785","not","83"
"786","not","109"
"787","not","114"
"788","not","114"
"789","not","80"
"790","not","85"
"791","not","122"
"792","not","114"
"793","not","122"
"794","not","135"
"795","not","88"
"796","not","87"
"797","not","107"
"798","not","98"
"799","not","116"
"800","not","95"
"801","not","92"
"802","not","76"
"803","not","112"
"804","not","98"
"805","not","60"
"806","not","85"
"807","not","65"
"808","not","139"
"809","not","94"
"810","not","92"
"811","not","102"
"812","not","110"
"813","not","130"
"814","not","97"
"815","not","119"
"816","not","110"
"817","not","125"
"818","not","89"
"819","not","77"
"820","not","138"
"821","not","53"
"822","not","124"
"823","not","81"
"824","not","80"
"825","not","128"
"826","not","117"
"827","not","118"
"828","paper","87"
"829","paper","105"
"830","paper","97"
"831","paper","77"
"832","paper","89"
"833","paper","103"
"834","paper","105"
"835","paper","108"
"836","paper","69"
"837","paper","121"
"838","paper","81"
"839","paper","96"
"840","paper","83"
"841","paper","68"
"842","paper","97"
"843","paper","76"
"844","paper","117"
"845","paper","131"
"846","paper","98"
"847","paper","92"
"848","paper","107"
"849","paper","99"
"850","paper","99"
"851","paper","85"
"852","paper","111"
"853","paper","81"
"854","paper","85"
"855","paper","121"
"856","paper","88"
"857","paper","96"
"858","paper","108"
"859","paper","103"
"860","paper","122"
"861","paper","105"
"862","paper","117"
"863","paper","118"
"864","paper","110"
"865","paper","100"
"866","paper","92"
"867","paper","124"
"868","paper","106"
"869","paper","111"
"870","paper","112"
"871","paper","114"
"872","paper","121"
"873","paper","122"
"874","paper","138"
"875","paper","81"
"876","paper","89"
"877","paper","122"
"878","paper","102"
"879","paper","136"
"880","paper","122"
"881","paper","134"
"882","paper","136"
"883","paper","90"
"884","paper","129"
"885","paper","134"
"886","paper","125"
"887","paper","127"
"888","paper","135"
"889","paper","127"
"890","paper","127"
"891","paper","110"
"892","paper","111"
"893","paper","125"
"894","paper","120"
"895","paper","134"
"896","paper","136"
"897","paper","102"
"898","paper","96"
"899","paper","82"
"900","paper","96"
"901","paper","128"
"902","paper","104"
"903","paper","101"
"904","paper","92"
"905","paper","125"
"906","paper","132"
"907","paper","104"
"908","paper","105"
"909","paper","119"
"910","paper","107"
"911","paper","92"
"912","paper","109"
"913","paper","113"
"914","paper","124"
"915","paper","118"
"916","paper","130"
"917","paper","123"
"918","paper","107"
"919","paper","127"
"920","paper","101"
"921","paper","121"
"922","paper","122"
"923","paper","134"
"924","paper","110"
"925","paper","110"
"926","paper","102"
"927","paper","105"
"928","paper","124"
"929","paper","110"
"930","paper","78"
"931","paper","112"
"932","paper","110"
"933","paper","108"
"934","paper","128"
"935","paper","108"
"936","paper","98"
"937","paper","123"
"938","paper","103"
"939","paper","118"
"940","paper","100"
"941","paper","122"
"942","paper","130"
"943","paper","123"
"944","paper","91"
"945","paper","94"
"946","paper","123"
"947","paper","95"
"948","paper","104"
"949","paper","109"
"950","paper","119"
"951","paper","119"
"952","paper","102"
"953","paper","116"
"954","paper","114"
"955","paper","98"
"956","paper","106"
"957","paper","111"
"958","paper","128"
"959","paper","131"
"960","paper","120"
"961","paper","94"
"962","paper","108"
"963","paper","133"
"964","paper","118"
"965","paper","103"
"966","paper","119"
"967","paper","116"
"968","paper","108"
"969","paper","129"
"970","paper","113"
"971","paper","116"
"972","paper","108"
"973","paper","111"
"974","paper","105"
"975","paper","111"
"976","paper","96"
"977","paper","114"
"978","paper","126"
"979","paper","105"
"980","paper","118"
"981","paper","112"
"982","paper","115"
"983","paper","124"
"984","paper","107"
"985","paper","129"
"986","paper","121"
"987","paper","112"
"988","paper","115"
"989","paper","103"
"990","paper","108"
"991","paper","117"
"992","paper","124"
"993","paper","126"
"994","paper","121"
"995","paper","122"
"996","paper","108"
"997","paper","109"
"998","paper","108"
"999","paper","125"
"1000","paper","124"
"1001","paper","114"
"1002","paper","112"
"1003","paper","98"
"1004","paper","130"
"1005","paper","108"
"1006","paper","121"
"1007","paper","111"
"1008","paper","102"
"1009","paper","115"
"1010","paper","92"
"1011","paper","110"
"1012","paper","106"
"1013","paper","103"
"1014","paper","106"
"1015","paper","104"
"1016","paper","124"
"1017","paper","109"
"1018","paper","88"
"1019","paper","95"
"1020","paper","107"
"1021","paper","123"
"1022","paper","115"
"1023","paper","99"
"1024","paper","114"
"1025","paper","105"
"1026","paper","120"
"1027","paper","127"
"1028","paper","124"
"1029","paper","108"
"1030","paper","111"
"1031","paper","112"
"1032","paper","103"
"1033","paper","115"
"1034","paper","119"
"1035","paper","116"
"1036","paper","128"
"1037","paper","114"
"1038","paper","112"
"1039","paper","126"
"1040","paper","125"
"1041","paper","119"
"1042","paper","117"
"1043","paper","88"
"1044","paper","106"
"1045","paper","122"
"1046","paper","120"
"1047","paper","108"
"1048","paper","111"
"1049","paper","94"
"1050","paper","84"
"1051","paper","114"
"1052","paper","115"
"1053","paper","114"
"1054","paper","125"
"1055","paper","118"
"1056","paper","110"
"1057","paper","126"
"1058","paper","122"
"1059","paper","127"
"1060","paper","119"
"1061","paper","108"
"1062","paper","116"
"1063","paper","113"
"1064","paper","119"
"1065","paper","110"
"1066","paper","105"
"1067","paper","99"
"1068","paper","98"
"1069","paper","119"
"1070","paper","111"
"1071","paper","122"
"1072","paper","109"
"1073","paper","113"
"1074","paper","121"
"1075","paper","98"
"1076","paper","97"
"1077","paper","114"
"1078","paper","109"
"1079","paper","117"
"1080","paper","114"
"1081","paper","108"
"1082","paper","124"
"1083","paper","118"
"1084","paper","85"
"1085","paper","110"
"1086","paper","115"
"1087","paper","122"
"1088","paper","109"
"1089","paper","109"
"1090","paper","119"
"1091","paper","111"
"1092","paper","90"
"1093","paper","128"
"1094","paper","105"
"1095","paper","118"
"1096","paper","103"
"1097","paper","115"
"1098","paper","117"
"1099","paper","90"
"1100","paper","110"
"1101","paper","114"
"1102","paper","121"
"1103","paper","106"
"1104","paper","118"
"1105","paper","131"
"1106","paper","121"
"1107","paper","121"
"1108","paper","103"
"1109","paper","109"
"1110","paper","121"
"1111","paper","128"
"1112","paper","70"
"1113","paper","122"
"1114","paper","113"
"1115","paper","128"
"1116","paper","100"
"1117","paper","112"
"1118","paper","104"
"1119","paper","130"
"1120","paper","115"
"1121","paper","102"
"1122","paper","101"
"1123","paper","106"
"1124","paper","92"
"1125","paper","102"
"1126","paper","116"
"1127","paper","114"
"1128","paper","112"
"1129","paper","113"
"1130","paper","124"
"1131","paper","117"
"1132","paper","123"
"1133","paper","130"
"1134","paper","105"
"1135","paper","78"
"1136","paper","123"
"1137","paper","100"
"1138","paper","103"
"1139","paper","117"
"1140","paper","114"
"1141","paper","92"
"1142","paper","107"
"1143","paper","119"
"1144","paper","111"
"1145","paper","119"
"1146","paper","83"
"1147","paper","93"
"1148","paper","100"
"1149","paper","113"
"1150","paper","99"
"1151","paper","126"
"1152","paper","84"
"1153","paper","120"
"1154","paper","86"
"1155","paper","106"
"1156","paper","98"
"1157","paper","126"
"1158","paper","101"
"1159","paper","117"
"1160","paper","107"
"1161","paper","105"
"1162","paper","92"
"1163","paper","91"
"1164","paper","102"
"1165","paper","93"
"1166","paper","109"
"1167","paper","131"
"1168","paper","104"
"1169","paper","112"
"1170","paper","107"
"1171","paper","100"
"1172","paper","103"
"1173","paper","119"
"1174","paper","107"
"1175","paper","133"
"1176","paper","88"
"1177","paper","75"
"1178","paper","103"
"1179","paper","118"
"1180","paper","106"
"1181","paper","118"
"1182","paper","107"
"1183","paper","110"
"1184","paper","122"
"1185","paper","81"
"1186","paper","108"
"1187","paper","102"
"1188","paper","108"
"1189","paper","101"
"1190","paper","76"
"1191","paper","116"
"1192","paper","111"
"1193","paper","117"
"1194","paper","95"
"1195","paper","106"
"1196","paper","102"
"1197","paper","95"
"1198","paper","131"
"1199","paper","132"
"1200","paper","132"
"1201","paper","88"
"1202","paper","115"
"1203","paper","121"
"1204","paper","115"
"1205","paper","118"
"1206","paper","88"
"1207","paper","103"
"1208","paper","114"
"1209","paper","120"
"1210","paper","112"
"1211","paper","114"
"1212","paper","114"
"1213","paper","116"
"1214","paper","106"
"1215","paper","105"
"1216","paper","132"
"1217","paper","102"
"1218","paper","103"
"1219","paper","110"
"1220","paper","112"
"1221","paper","91"
"1222","paper","111"
"1223","paper","111"
"1224","paper","117"
"1225","paper","90"
"1226","paper","100"
"1227","paper","107"
"1228","paper","129"
"1229","paper","103"
"1230","paper","97"
"1231","paper","113"
"1232","paper","113"
"1233","paper","105"
"1234","paper","110"
"1235","paper","123"
"1236","paper","124"
"1237","paper","98"
"1238","paper","111"
"1239","paper","101"
"1240","paper","95"
"1241","paper","128"
"1242","paper","99"
"1243","paper","101"
"1244","paper","108"
"1245","paper","107"
"1246","paper","96"
"1247","paper","71"
"1248","paper","106"
"1249","paper","100"
"1250","paper","127"
"1251","paper","110"
"1252","paper","108"
"1253","paper","100"
"1254","paper","119"
"1255","paper","108"
"1256","paper","106"
"1257","paper","80"
"1258","paper","120"
"1259","paper","109"
"1260","paper","73"
"1261","paper","109"
"1262","paper","118"
"1263","paper","106"
"1264","paper","119"
"1265","paper","102"
"1266","paper","122"
"1267","paper","105"
"1268","paper","100"
"1269","paper","108"
"1270","paper","95"
"1271","paper","131"
"1272","paper","117"
"1273","paper","112"
"1274","paper","132"
"1275","paper","94"
"1276","paper","96"
"1277","paper","114"
"1278","paper","88"
"1279","paper","116"
"1280","paper","107"
"1281","paper","119"
"1282","paper","122"
"1283","paper","126"
"1284","paper","86"
"1285","paper","94"
"1286","paper","114"
"1287","paper","120"
"1288","paper","130"
"1289","paper","103"
"1290","paper","92"
"1291","paper","111"
"1292","paper","107"
"1293","paper","98"
"1294","paper","99"
"1295","paper","67"
"1296","paper","103"
"1297","paper","112"
"1298","paper","128"
"1299","paper","125"
"1300","paper","110"
"1301","paper","117"
"1302","paper","111"
"1303","paper","95"
"1304","paper","112"
"1305","paper","104"
"1306","paper","121"
"1307","paper","97"
"1308","paper","101"
"1309","paper","75"
"1310","paper","136"
"1311","paper","131"
"1312","paper","118"
"1313","paper","113"
"1314","paper","116"
"1315","paper","86"
"1316","paper","114"
"1317","paper","115"
"1318","paper","94"
"1319","paper","116"
"1320","paper","109"
"1321","paper","111"
"1322","paper","108"
"1323","paper","102"
"1324","paper","106"
"1325","paper","121"
"1326","paper","105"
"1327","paper","123"
"1328","paper","116"
"1329","paper","103"
"1330","paper","103"
"1331","paper","114"
"1332","paper","116"
"1333","paper","106"
"1334","paper","112"
"1335","paper","120"
"1336","paper","125"
"1337","paper","123"
"1338","paper","117"
"1339","paper","101"
"1340","paper","89"
"1341","paper","107"
"1342","paper","113"
"1343","paper","92"
"1344","paper","124"
"1345","paper","105"
"1346","paper","105"
"1347","paper","106"
"1348","paper","111"
"1349","paper","114"
"1350","paper","109"
"1351","paper","123"
"1352","paper","88"
"1353","paper","108"
"1354","paper","103"
"1355","paper","109"
"1356","paper","115"
"1357","paper","107"
"1358","paper","95"
"1359","paper","89"
"1360","paper","114"
"1361","paper","106"
"1362","paper","103"
"1363","paper","113"
"1364","paper","99"
"1365","paper","104"
"1366","paper","100"
"1367","paper","114"
"1368","paper","126"
"1369","paper","101"
"1370","paper","113"
"1371","paper","128"
"1372","paper","107"
"1373","paper","112"
"1374","paper","127"
"1375","paper","97"
"1376","paper","115"
"1377","paper","110"
"1378","paper","107"
"1379","paper","113"
"1380","paper","120"
"1381","paper","125"
"1382","paper","95"
"1383","paper","98"
"1384","paper","118"
"1385","paper","78"
"1386","paper","123"
"1387","paper","114"
"1388","paper","91"
"1389","paper","97"
"1390","paper","109"
"1391","paper","140"
"1392","paper","119"
"1393","paper","116"
"1394","paper","132"
"1395","paper","112"
"1396","paper","102"
"1397","paper","122"
"1398","paper","97"
"1399","paper","114"
"1400","paper","121"
"1401","paper","104"
"1402","paper","113"
"1403","paper","125"
"1404","paper","109"
"1405","paper","106"
"1406","paper","110"
"1407","paper","80"
"1408","paper","99"
"1409","paper","100"
"1410","paper","127"
"1411","paper","113"
"1412","paper","108"
"1413","paper","117"
"1414","paper","112"
"1415","paper","106"
"1416","paper","119"
"1417","paper","121"
"1418","paper","98"
"1419","paper","132"
"1420","paper","92"
"1421","paper","123"
"1422","paper","114"
"1423","paper","78"
"1424","paper","86"
"1425","paper","102"
"1426","paper","110"
"1427","paper","113"
"1428","paper","109"
"1429","paper","112"
"1430","paper","84"
"1431","paper","122"
"1432","paper","114"
"1433","paper","96"
"1434","paper","114"
"1435","paper","94"
"1436","paper","120"
"1437","paper","120"
"1438","paper","125"
"1439","paper","129"
"1440","paper","105"
"1441","paper","119"
"1442","paper","123"
"1443","paper","131"
"1444","paper","104"
"1445","paper","119"
"1446","paper","118"
"1447","paper","87"
"1448","paper","101"
"1449","paper","121"
"1450","paper","95"
"1451","paper","119"
"1452","paper","110"
"1453","paper","130"
"1454","paper","132"
"1455","paper","98"
"1456","paper","118"
"1457","paper","100"
"1458","paper","112"
"1459","paper","79"
"1460","paper","106"
"1461","paper","85"
"1462","paper","123"
"1463","paper","100"
"1464","paper","120"
"1465","paper","127"
"1466","paper","120"
"1467","paper","79"
"1468","paper","119"
"1469","paper","102"
"1470","paper","106"
"1471","paper","115"
"1472","paper","113"
"1473","paper","128"
"1474","paper","117"
"1475","paper","112"
"1476","paper","97"
"1477","paper","98"
"1478","paper","111"
"1479","paper","115"
"1480","paper","121"
"1481","paper","113"
"1482","paper","132"
"1483","paper","91"
"1484","paper","113"
"1485","paper","112"
"1486","paper","100"
"1487","paper","113"
"1488","paper","116"
"1489","paper","123"
"1490","paper","108"
"1491","paper","108"
"1492","paper","123"
"1493","paper","117"
"1494","paper","60"
"1495","paper","121"
"1496","paper","120"
"1497","paper","92"
"1498","paper","102"
"1499","paper","94"
"1500","paper","88"
"1501","paper","103"
"1502","paper","119"
"1503","paper","117"
"1504","paper","123"
"1505","paper","126"
"1506","paper","119"
"1507","paper","97"
"1508","paper","104"
"1509","paper","92"
"1510","paper","112"
"1511","paper","93"
"1512","paper","124"
"1513","paper","137"
"1514","paper","91"
"1515","paper","120"
"1516","paper","131"
"1517","paper","99"
"1518","paper","128"
"1519","paper","116"
"1520","paper","123"
"1521","paper","115"
"1522","paper","115"
"1523","paper","119"
"1524","paper","123"
"1525","paper","95"
"1526","paper","112"
"1527","paper","127"
"1528","paper","110"
"1529","paper","107"
"1530","paper","115"
"1531","paper","118"
"1532","paper","125"
"1533","paper","91"
"1534","paper","99"
"1535","paper","100"
"1536","paper","111"
"1537","paper","99"
"1538","paper","106"
"1539","paper","113"
"1540","paper","127"
"1541","paper","107"
"1542","paper","92"
"1543","paper","112"
"1544","paper","135"
"1545","paper","108"
"1546","paper","116"
"1547","paper","100"
"1548","paper","93"
"1549","paper","81"
"1550","paper","111"
"1551","paper","104"
"1552","paper","109"
"1553","paper","105"
"1554","paper","114"
"1555","paper","104"
"1556","paper","99"
"1557","paper","113"
"1558","paper","100"
"1559","paper","119"
"1560","paper","99"
"1561","paper","107"
"1562","paper","108"
"1563","paper","96"
"1564","paper","109"
"1565","paper","90"
"1566","paper","118"
"1567","paper","107"
"1568","paper","119"
"1569","paper","116"
"1570","paper","130"
"1571","paper","103"
"1572","paper","121"
"1573","paper","85"
"1574","paper","127"
"1575","paper","89"
"1576","paper","117"
"1577","paper","105"
"1578","paper","95"
"1579","paper","130"
"1580","paper","126"
"1581","paper","109"
