age,gender,ethnic,major,minor,gpa,class,pilsf1_1,oq20_1,oq21_1,oq22_1,oq23_1,oq24_1,oq25_1,oq26_1,oq27_1,oq28_1,oq29_1,oq30_1,oq31_1,oq32_1,oq33_1,oq34_1,oq35_1,oq36_1,oq37_1,oq38_1,oq39_1,oq40_1,oq41_1,oq42_1,oq43_1,oq44_1,oq45_1,song1_1,song2_1,song3_1,song4_1,song5_1,song6_1,song7_1,song8_1,song9_1,song10_1,song11_1,song12_1,song13_1,song14_1,song15_1,song16_1,song17_1,song18_1,song19_1,song20_1,pil1_1,pil2_1,pil3_1,pil4_1,pil5_1,pil6_1,pil7_1,pil8_1,pil9_1,pil10_1,pil11_1,pil12_1,pil13_1,pil14_1,pil15_1,pil16_1,pil17_1,pil18_1,pil19_1,pil20_1,pilsftot,pil20tot,swlstot,songtot,songsuba,songsubb,mlq1_1,mlq2_1,mlq3_1,mlq4_1,mlq5_1,mlq6_1,mlq7_1,mlq8_1,mlq9_1,mlq10_1,mlqpres,mlqsearc,oq45tot,oq45sd,oq45ir,oq45sr,bsas1_1,bsas2_1,bsas3_1,bsas4_1,bsas5_1,bsas6_1,bsas7_1,bsas8_1,bsas9_1,bsas10_1,bsas11_1,bsas12_1,bsas13_1,bsas14_1,bsas15_1,bsas16_1,bsas17_1,bsas18_1,bsas19_1,bsas20_1,bsas21_1,bsas22_1,bsas23_1,bsasperm,bsasbc,bsascomm,bsasinst,caps1_1,caps2_1,caps3_1,caps4_1,caps5_1,caps6_1,caps7_1,caps8_1,captot,capspp,capssp,lpq1_1,lpq2_1,lpq3_1,lpq4_1,lpq5_1,lpq6_1,lpq7_1,lpq8_1,lpq9_1,lpq10_1,lpq11_1,lpq12_1,lpq13_1,lpq14_1,lpq15_1,lpq16_1,lpq17_1,lpq18_1,lpq19_1,lpq20_1,lpqtot,bps1_1,bps2_1,bps3_1,bps4_1,bps5_1,bps6_1,bps7_1,bps8_1,bps9_1,bps10_1,bps11_1,bps12_1,bps13_1,bps14_1,bps15_1,bps16_1,bps17_1,bps18_1,bps19_1,bps20_1,bps21_1,bps22_1,bps23_1,bps24_1,bps25_1,bps26_1,bps27_1,bps28_1,bpstot,hsq1_1,hsq2_1,hsq3_1,hsq4_1,hsq5_1,hsq6_1,hsq7_1,hsq8_1,hsq9_1,hsq10_1,hsq11_1,hsq12_1,hsq13_1,hsq14_1,hsq15_1,hsq16_1,hsq17_1,hsq18_1,hsq19_1,hsq20_1,hsq21_1,hsq22_1,hsq23_1,hsq24_1,hsq25_1,hsq26_1,hsq27_1,hsq28_1,hsq29_1,hsq30_1,hsq31_1,hsq32_1,hsqaff,hsqenh,hsqagg,hsqdef,las1_1,las2_1,las3_1,las4_1,las5_1,las6_1,las7_1,las8_1,las9_1,las10_1,las11_1,las12_1,las13_1,las14_1,las15_1,las16_1,las17_1,las18_1,las19_1,las20_1,las21_1,las22_1,las23_1,las24_1,lasero,laslud,lassto,laspra,lasman,lasaga,drs1_1,drs2_1,drs3_1,drs4_1,drs5_1,drs6_1,drs7_1,drs8_1,drs9_1,drs10_1,drs11_1,drs12_1,drs13_1,drs14_1,drs15_1,drstot,drscm,drsco,drsch,hps1_1,hps2_1,hps3_1,hps4_1,hps5_1,hps6_1,hps7_1,hps8_1,hps9_1,hps10_1,hps11_1,hps12_1,hpsag,hpspa,pil20cat,filter_$,pilsfcat,pilsfms,oq1_1,oq2_1,oq3_1,oq4_1,oq5_1,oq6_1,oq7_1,oq8_1,oq9_1,oq10_1,oq11_1,oq12_1,oq13_1,oq14_1,oq15_1,oq16_1,oq17_1,oq18_1,oq19_1,pilsf2_1,pilsf3_1,pilsf4_1,PILSFBED,hpstot,userid
19,1,1,Journalism,Communication,3.5,1,6,1,1,2,2,2,2,2,1,1,1,2,1.5,1,2,1,2,3,2,1,2,3,2,1,2,2,1,4,6,5,3,2,4,6,4,4,4,6,4,4,3,4,5,5,4,4,2,6,3,4,6,4,5,4,3,5,3,4,5,5,5,5,5,2,4,5,3,23,86,25,83,50,33,6,5,3,5,5,5,5,4,6,5,27,22,73.5,39.5,21,13,1,2,2,2,2,3,4,4,4,2,1,1,2,5,2,3,1,3,3,5,4,4,4,2.6,1.33333333333333,2.8,4,1,1,3,1,3,4,1,3,17,6,11,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,14,2,5,5,4,3,4,4,4,3,5,3,5,3,2,3,2,2,3,2,2,3,4,5,4,3,4,5,4,98,7,3,4,5,5,5,6,2,4,5,2,5,6,3,4,3,6,5,4,5,4,5,5,4,3,2,5,4,5,4,5,5,40,32,35,33,1,3,3,1,3,2,4,5,3,1,1,3,3,3,2,3,3,1,2,2,3,3,4,3,2,3.5,2,2.75,2,3.25,0,2,1,2,3,1,0,2,3,2,2,1,2,1,3,25,5,11,9,4,3,1,3,1,3,2,3,3,3,2,4,13,13,1,0,2,1,1,2,1,1,2,1,2,0,2,2,0,2,1,2,2,3,2,2,2,6,6,5,16,26,meaning7
19,1,2,Liberal Arts Undecided, ,1.6,1,6,3,3,2,2,2,2,1,2,2,1,2,2,2,1,1,1,2,3,2,1,1,1,2,2,2,2,2,2,5,2,3,7,6,6,2,7,2,4,3,2,4,3,3,5,4,4,4,4,7,5,4,7,6,4,5,6,6,4,4,5,6,7,5,7,4,6,20,106,17,76,38,38,4,4,4,5,5,5,4,3,5,5,24,20,78,39,21,18,2,2,2,2,2,1,1,4,1,1,1,1,4,1,1,2,1,2,1,1,1,1,1,1.8,2,1.4,1,1,1,1,1,1,1,1,1,8,4,4,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,14,3,4,1,3,4,5,5,2,6,2,3,4,4,3,7,3,7,5,4,6,3,2,3,5,4,5,4,4,111,7,5,5,1,7,4,6,1,6,2,6,3,7,6,6,3,7,5,6,2,7,3,6,2,7,5,7,6,7,6,7,5,55,36,49,23,1,3,3,1,1,1,1,2,5,5,5,5,2,2,3,3,2,2,2,2,2,2,2,2,2,1.25,5,2.5,2,2,3,2,1,2,1,3,2,2,2,3,1,2,1,1,3,29,12,12,5,4,3,2,4,1,3,1,3,4,3,2,3,13,14,2,0,1,1,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,5,4,5,22,27,meaning7
19,1,1,Liberal Arts Undecided, ,3.25,1,5,0,0,2,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,2,2,4,3,2,4,5,2,2,4,2,2,2,4,5,2,2,2,2,4,5,5,4,5,6,7,3,4,5,5,5,2,6,7,3,7,5,7,3,4,18,98,25,57,29,28,2,3,3,3,2,4,4,3,4,3,15,16,31,16,6,9,1,1,2,1,1,2,2,2,3,2,2,2,2,5,4,4,2,3,2,2,1,1,4,1.7,2,3.6,2,1,2,3,1,5,4,4,1,21,7,14,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,14,3,4,3,3,4,1,2,1,3,3,3,5,3,2,6,4,5,5,4,4,5,4,5,6,2,2,5,2,99,7,4,5,3,4,6,6,3,6,4,3,3,6,7,6,3,7,4,6,2,7,6,6,1,7,3,4,4,7,6,6,2,51,40,42,21,2,3,2,2,3,2,4,5,4,2,2,3,2,4,4,5,5,4,5,3,3,3,4,4,2.25,3.5,2.75,3.75,4.25,3.5,1,1,3,3,2,3,1,1,2,3,3,2,1,3,1,30,10,8,12,4,3,3,3,2,3,3,2,3,4,2,2,12,12,2,0,1,1,1,2,2,3,1,1,0,0,1,1,0,2,1,1,0,0,0,0,1,4,5,4,17,24,meaning7
18,2,2,Biology, ,2,1,7,1,0,1,0,0,1,0,0,0,1,3,.930034129692833,0,0,1,0,1,2,1,0,0,4,0,1,0,2,6,6,4,2,6,7,6,4,2,6,1,2,2,1,3,1,6,6,1,7,4,5,7,7,5,7,7,7,7,6,6,6,7,7,5,5,7,7,7,7,26,126,31,79,37,42,7,2,2,7,7,6,1,5,7,2,34,12,39.9300341296928,21.9300341296928,12,6,5,3,5,5,5,1,3,5,5,4,1,1,1,5,3,2,5,4,3,3,3,2,5,4.1,1,3.8,3.2,4,2,1,3,3,3,6,1,23,10,13,0,1,1,1,0,1,1,1,1,.77027027027027,1,1,1,1,.409090909090909,1,1,1,1,1,17.1793611793612,2,7,4,1,1,6,1,2,5,4,2,6,1,7,7,7,7,2,2,6,4,1,4,3,4,5,5,4,110,7,5,4,5,6,7,3,2,7,7,6,2,7,5,2,4,7,7,7,1,7,3,5,1,7,7,2,6,7,6,3,5,55,47,32,26,1,1,2,1,2,2,1,4,1,1,1,1,2,2,1,5,3,4,3,2,4,5,4,4,1.25,2.25,1,2.5,3,4.25,3,3,2,3,3,3,1,3,3,3,0,2,1,2,3,35,12,15,8,3,4,4,3,2,4,4,4,4,4,4,4,16,14,3,1,3,2,1,2,0,2,1,3,1,0,1,1,0,2,2,1,0,1,0,0,2,6,6,7,28,30,meaning7
19,1,1,Undecided,N/A,2.5,1,5,1,3,2,1,1,1,2,2,2,1,1,1,1,2,1,0,1,0,2,1,1,3,1,1,1,1,5,5,3,4,4,5,5,4,3,4,2,4,3,2,3,5,2,5,2,5,5,5,5,5,5,7,6,5,5,4,6,2,5,7,5,3,6,5,4,6,23,101,30,75,38,37,5,5,4,5,6,6,6,5,6,6,28,26,58,32,10,16,2,2,2,1,3,3,2,1,2,2,2,2,2,3,3,3,2,3,1,3,1,3,2,2,2,2.8,2,2,3,2,3,4,3,3,3,23,10,13,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,14,3,5,6,4,4,5,3,3,5,5,4,4,3,6,3,5,3,4,4,5,3,5,4,4,3,3,4,5,115,6,6,2,6,6,2,5,2,6,6,5,5,7,5,6,6,6,2,6,2,7,5,3,3,6,6,2,5,2,2,3,2,46,34,32,31,1,2,1,1,2,2,2,4,2,3,3,2,3,3,2,1,3,2,3,3,3,3,2,2,1.25,2.5,2.5,2.25,2.75,2.5,1,2,2,3,1,0,1,1,2,2,2,2,1,2,3,25,9,8,8,3,3,3,3,2,3,2,3,3,3,2,3,12,12,2,0,2,1,1,2,2,2,2,1,1,1,1,1,0,2,2,2,1,1,0,1,1,6,6,6,21,24,meaning7
20,1,1,Business,Engineering,3,1,7,1,0,3,1,1,0,0,0,2,0,0,1,0,0,2,0,0,1,2,0,0,1,0,1,0,0,4,3,4,4,5,5,4,4,5,4,3,6,6,2,5,3,4,3,4,7,5,5,6,6,6,5,5,5,5,6,6,6,7,6,7,7,6,6,6,6,27,117,29,85,50,35,5,4,6,5,4,3,4,2,5,4,22,20,34.8412162162162,17, ,9,3,3,3,2,4,3,4,4,3,2,2,4,4,1,1,2,1,4,3,4,3,3,4,3.1,3.33333333333333,1.8,3.4,1,1,1,1,3,3,3,1,14,4,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,6,2,3,4,3,2,5,4,5,3,6,3,5,2,5,3,2,4,2,3,5,6,6,5,2,4,5,2,107,5,2,2,3,5,7,2,2,5,4,3,5,4,4,5,4,6,3,4,5,4,5,5,4,4,3,4,5,3,6,3,4,36,34,28,32,3,2,4,4,2,2,4,3,2,5,2,3,1,2,3,4,2,3,4,2,1,2,4,3,3.25,2.75,3,2.5,2.75,2.5,2,3,1,3,1,3,2,1,2,3,1,2,2,1,2,29,12,11,6,3,3,1,3,1,3,2,3,4,4,2,4,15,12,3,1,3,2,0,0,0,2,1,2,1,0,0,0,1,2,2,1,2,1.84121621621622,1,2,0,7,7,6,23,27,meaning7
19,2,1,Liberal Arts Undecided, ,2.5,1,6,0,0,2,1,0,2,1,2,2,2,1,1,.417508417508417,2,2,2,2,0,3,2,3,2,2,3,2,3,4,4,4,3,4,4,6,4,3,3,4,4,4,4,6,6,2,3,4,5,6,5,5,7,6,7,7,5,4,6,4,5,3,6,6,7,5,4,4,5,22,107,28,81,44,37,6,7,5,4,5,6,6,6,6,4,27,28,67.4175084175084,40,13, ,5,5,5,5,5,5,5,5,4,5,4,1,1,3,4,5,2,3,4,5,3,3,5,4.9,2,3.4,4,3,3,3,3,1,3,1,6,23,12,11,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,17,2,6,3,4,4,4,4,5,4,4,3,4,3,3,2,2,4,4,4,4,6,1,1,2,4,4,4,4,99,7,6,4,3,5,5,3,3,5,5,2,2,7,4,2,2,7,6,4,3,7,4,3,3,7,4,2,3,7,6,3,4,52,40,23,23,1,1,2,2,3,5,4,5,1,1,4,1,1,1,2,3,3,5,3,3,1,2,3,3,1.5,4.25,1.75,1.75,3.5,2.25,2,2,1,3,1,2,2,2,3,3,1,3,2,1,2,30,13,11,6,3,3,3,2,2,2,3,3,3,3,2,3,12,10,2,0,2,1,1,2,0,3,2,2,1,1,2,1,0,1,1,1,1,2,2,1,1,6,5,5,22,22,meaning7
19,1,1,Business,Journalism,2.4,1,5,1,1,2,1,1,1,2,1,3,1,1,1,2,1,1,1,1,2,3,1,1,2,1,1,1,2,4,4,4,2,5,6,4,2,2,3,4,2,2,4,4,2,2,4,2,5,4,5,5,5,4,6,5,5,5,7,7,5,6,5,2,7,5,7,5,5,21,105,23,67,35,32,7,1,2,6,6,6,2,2,7,1,32,8,60,30,14,16,3,2,4,2,5,2,4,3,4,4,1,1,1,2,3,3,3,4,3,3,2,2,2,3.3,1,3,2.4,1,1,1,2,5,1,5,6,22,5,17,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,17,5,4,5,3,2,5,4,4,3,2,5,4,4,2,4,3,3,5,4,2,4,4,4,5,2,2,3,3,100,6,5,2,2,4,4,3,2,3,5,3,3,4,4,6,6,6,5,2,2,5,5,4,2,6,4,2,3,5,2,3,3,39,34,25,23,2,4,2,1,3,5,2,5,3,3,3,3,3,4,4,4,3,4,3,4,3,2,3,2,2.25,3.75,3,3.75,3.5,2.5,0,2,2,2,2,3,1,2,2,2,2,2,1,2,2,27,7,11,9,3,3,2,3,3,3,2,3,3,3,2,2,11,12,2,0,1,1,1,2,1,3,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,7,4,5,20,23,meaning7
18,2,1,Special/elementary education, ,2.5,1,5,3,2,4,1,2,2,2,2,2,2,0,2,0,2,2,0,2,3,2,1,2,4,2,2,0,3,5,4,2,4,5,3,6,2,4,4,5,4,4,4,4,4,5,4,4,4,5,3,4,5,4,5,6,4,5,4,5,4,6,5,3,7,4,4,4,5,21,92,17,81,47,34,5,5,2,5,6,4,5,5,7,5,27,22,78,45,18,15,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,3,1,1,3,5,5,5,5,5,1,1.4,4.6,4,4,4,4,3,1,3,3,26,16,10,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,11,7,1,4,5,5,7,1,3,4,4,3,4,4,3,7,4,7,7,3,5,7,2,2,4,3,2,4,1,113,7,5,6,6,6,6,4,5,6,5,4,5,7,4,6,6,7,7,4,4,7,3,4,5,7,7,4,1,5,6,4,5,52,43,36,37,3,5,3,5,5,1,1,5,1,1,1,1,1,1,1,1,1,5,3,1,3,1,1,1,4,3,1,1,2.5,1.5,1,3,3,3,2,3,1,1,0,2,3,1,0,3,0,26,8,7,11,3,3,3,3,2,3,3,3,3,3,4,3,12,12,1,0,1,1,0,2,0,4,2,2,1,1,2,2,0,3,0,1,2,3,0,2,2,6,5,5,18,24,meaning7
22,1,1,Exercise Science,none,1.98,3,6,0,2,0,0,0,2,2,2,3,0,0,0,0,2,2,0,2,3,3,0,2,2,2,1,0,2,2,1,5,6,4,7,7,7,1,7,1,1,1,3,5,1,4,7,4,7,3,7,7,7,7,6,7,2,7,6,7,7,1,7,7,7,7,1,5,7,23,115,24,81,38,43,7,1,1,7,7,7,1,1,7,1,35,5,47.1616161616162,26.1616161616162,11,10,1,1,3,1,5,1,1,4,2,1,1,1,1,4,1,2,1,2,4,5,2,2,4,2,1,2,3.4,1,1,1,1,5,3,1,1,14,4,10,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,12,7,1,1,1,1,7,1,1,7,1,7,7,1,1,1,7,7,7,7,7,7,1,1,7,7,7,7,1,118,7,7,1,3,7,7,6,6,7,7,6,2,7,7,2,6,7,7,7,1,7,5,5,2,6,7,5,7,7,7,6,6,55,54,38,33,4,4,1,2,5,5,5,1,4,5,5,5,2,2,2,4,2,2,1,1,1,1,1,1,2.75,4,4.75,2.5,1.5,1,2,3,1,3,3,2,2,3,3,3,3,3,1,2,2,36,13,13,10,4,3,3,3,1,3,1,3,4,3,1,3,13,13,3,0,2,1,0,2,0,1,2,0,0,1,1.16161616161616,0,2,0,0,1,0,2,3,0,0,7,3,7,23,26,meaning7
19,2,1,Undecided,Undecided,3,1,6,1,1,3,2,1,1,0,0,1,0,1,1,0,1,2,0,1,2,3,1,1,3,1,1,0,2,4,2,6,4,6,4,4,3,3,4,5,4,3,5,3,3,3,3,4,2,5,3,5,5,3,6,5,3,5,3,5,3,6,5,3,6,5,5,5,5,23,91,24,75,48,27,6,6,5,6,6,6,5,5,6,6,30,27,57,32,12,13,4,3,4,3,5,4,4,4,3,3,2,2,2,2,2,3,2,2,3,4,4,3,3,3.7,2,2.2,3.4,3,1,1,1,1,1,1,1,10,6,4,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,13,3,6,4,4,3,6,3,3,5,5,4,5,3,3,4,2,5,4,4,4,3,6,4,5,3,3,5,3,112,6,5,4,2,4,5,2,2,3,5,3,3,5,4,3,3,5,5,5,3,5,3,5,3,5,5,3,5,4,5,4,4,37,37,29,25,1,2,2,2,2,4,4,3,4,4,4,4,4,5,5,5,4,4,3,4,2,2,2,3,1.75,3.25,4,4.75,3.75,2.25,1,2,1,3,1,2,1,1,2,2,0,2,2,0,2,22,9,9,4,3,3,2,2,2,3,2,2,3,3,3,3,12,10,1,0,2,1,1,3,1,3,2,3,2,0,1,1,0,2,1,2,1,1,1,1,1,6,5,6,18,22,meaning8
18,2,2,Nursing, ,3.2,1,6,0,0,3,1,1,3,0,1,1,1,1,1,0,1,1,0,1,3,2,0,0,0,0,1,0,2,5,4,4,5,3,6,7,5,3,5,3,2,6,4,5,3,4,5,4,6,4,4,7,6,3,5,7,5,6,5,7,4,6,6,1,7,4,5,4,6,24,102,21,89,47,42,7,6,6,5,6,4,6,6,7,6,29,30,48,30,9,9,5,5,5,5,5,2,3,5,5,3,1,1,1,5,2,3,1,3,3,3,3,4,2,4.3,1,2.8,3,1,1,1,1,1,1,1,1,8,4,4,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,11,5,5,3,3,5,5,5,3,4,6,4,3,3,6,6,4,5,5,4,3,4,5,5,4,3,6,7,2,123,5,6,4,7,3,6,5,4,3,3,4,5,7,5,1,4,7,6,5,4,7,4,6,2,7,6,5,7,2,6,5,4,41,42,35,37,2,1,2,1,3,5,4,5,5,4,5,1,3,2,3,5,2,2,3,2,3,3,2,4,1.5,4.25,3.75,3.25,2.25,3,2,3,1,2,2,3,2,1,1,3,1,1,0,1,2,25,10,10,5,3,3,4,3,3,4,3,2,3,4,4,3,13,12,2,1,2,2,1,3,2,3,2,1,1,0,3,2,0,2,1,1,0,0,0,1,1,7,6,5,24,25,meaning8
21,2,1,psychology,spanish,2.43,3,5,0,0,4,2,0,0,0,2,4,0,0,2,0,0,0,0,3,0,4,3,3,0,0,0,2,0,2,4,3,3,6,3,6,2,2,5,2,2,4,3,4,4,2,2,4,6,4,3,6,6,3,4,7,5,5,5,5,3,5,6,2,3,4,6,5,6,20,93,27,69,37,32,5,5,6,4,4,3,6,6,4,6,20,29,52,29,4,19,2,3,5,3,5,2,5,5,1,2,1,1,3,5,2,3,3,3,2,3,3,4,4,3.3,1.66666666666667,3.2,3.2,3,4,3,5,3,5,6,6,35,15,20,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,14,3,6,4,4,4,2,6,1,7,3,3,2,2,6,3,5,5,6,2,2,2,2,4,4,2,3,3,4,100,7,5,1,4,4,5,2,2,7,5,1,5,7,7,1,2,7,6,3,1,7,7,1,4,7,5,2,6,6,5,1,1,52,45,12,25,1,1,2,1,3,3,2,5,5,5,5,5,2,2,3,3,3,4,4,4,1,1,2,1,1.25,3.25,5,2.5,3.75,1.25,2,2,1,3,2,3,2,3,2,3,2,2,0,3,1,31,12,11,8,3,2,2,3,2,3,4,3,4,2,4,3,11,12,2,0,1,1,0,2,0,4,4,4,0,0,1,2,0,2,0,0,0,4,0,0,0,6,5,4,23,23,meaning8
19,1,2,biology, ,3.4,1,5,2,2,3,2,2,2,0,1,3,2,1,2,0,2,2,0,2,4,2,1,2,4,3,2,0,1,6,3,4,4,5,4,7,1,1,6,4,4,3,5,2,6,4,6,4,4,5,3,5,7,5,5,7,5,5,5,6,5,7,7,5,7,6,5,3,6,23,109,23,83,42,41,7,1,1,7,7,6,1,1,7,1,34,5,75,45,17,13,5,5,5,5,5,5,5,5,5,2,2,2,2,4,1,2,1,1,2,4,4,2,2,4.7,2,1.8,2.8,1,1,1,1,1,1,1,1,8,4,4,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,11,5,5,1,5,5,6,3,2,7,7,1,5,3,3,3,5,2,6,2,3,6,5,6,4,5,2,5,6,118,7,2,2,7,6,5,7,7,1,2,1,2,7,2,1,6,6,2,5,7,7,1,2,5,7,2,1,6,6,6,1,7,47,22,20,47,5,5,5,5,4,5,4,5,5,5,5,5,1,1,1,2,5,5,2,5,1,1,1,2,5,4.5,5,1.25,4.25,1.25,1,2,1,3,0,3,1,1,1,2,1,1,1,0,1,19,8,8,3,3,2,3,3,2,2,2,1,3,2,4,2,9,9,2,0,2,1,1,2,2,2,3,2,0,0,1,2,0,2,1,1,2,3,0,2,2,7,5,6,23,18,meaning8
21,1,1,Music Education, ,3.8,2,7,0,3,1,1,1,1,0,2,1,1,1,1,0,1,2,0,2,0,2,0,1,3,1,0,0,1,7,7,4,2,6,6,6,2,2,6,2,2,2,3,5,2,2,7,4,7,6,7,7,7,6,7,6,6,7,7,7,7,7,7,3,7,7,6,7,7,27,131,35,84,38,46,6,7,5,7,6,7,5,5,7,5,33,27,50,30,10,10,5,4,5,3,4,4,5,4,5,4,1,1,1,4,4,1,1,1,1,4,1,5,5,4.3,1,2.2,3.2,1,1,1,1,1,1,1,1,8,4,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,18,2,4,2,4,2,7,1,1,2,1,1,2,1,1,1,3,4,1,1,4,6,2,1,2,1,1,1,1,60,7,5,5,6,7,7,2,3,7,3,3,3,7,7,1,5,5,5,3,3,7,5,1,3,7,5,1,3,5,6,2,3,52,43,18,29,1,1,2,1,5,5,1,5,1,1,1,1,2,2,1,1,1,4,5,2,1,1,1,1,1.25,4,1,1.5,3,1,3,3,1,3,1,3,3,2,3,3,1,3,3,1,3,36,15,14,7,4,4,2,4,2,4,3,4,4,4,3,3,15,16,3,1,3,2,0,1,1,2,3,1,1,0,1,1,0,0,0,2,3,1,2,1,4,7,6,7,27,31,meaning8
20,2,5,Biology,Chemistry, ,1,7,2,0,1,2,3,2,0,4,2,4,3,2,0,2,3,0,3,4,4,3,1,4,3,2,1,4,5,5,6,6,7,5,7,7,5,6,5,4,4,5,7,7,5,2,4,6,5,4,7,5,4,5,6,5,4,5,5,3,7,6,6,7,5,7,3,5,24,104,21,108,63,45,4,7,7,4,5,5,6,6,7,7,25,33,99,55,25,19,1,1,3,2,5,4,4,3,5,3,1,1,1,4,2,3,1,2,1,3,1,3,4,3.1,1,2.4,2.4,1,1,1,1,1,1,1,1,8,4,4,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,10,3,6,1,6,4,2,1,2,5,2,2,6,3,1,6,1,6,5,2,6,6,2,1,1,3,5.5,5,6,99.5,7,7,6,6,6,7,3,7,7,5,3,6,7,7,2,7,7,7,7,6,7,6,6,5,7,7,1,7,7,7,5,5,55,53,33,49,2,2,1,1,4,5,4,5,4,4,3,4,2,2,1,5,4,4,5,5,2,4,5,5,1.5,4.5,3.75,2.5,4.5,4,3,3,1,3,2,3,2,0,1,3,1,1,3,1,3,30,12,10,8,4,4,4,4,2,3,4,4,4,3,3,3,14,15,2,1,2,2,1,3,1,4,3,3,2,0,2,2,0,2,1,3,2,2,3,4,2,6,5,6,22,29,meaning8
19,2,1,special education,sign language,3.5,1,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,6,2,7,7,1,6,6,6,2,2,6,7,7,6,7,6,7,7,4,5,4,7,7,7,5,7,7,7,1,7,7,7,7,7,7,7,7,27,124,34,111,56,55,5,7,7,5,5,7,7,7,7,7,29,35,19,12,1,6,5,5,5,5,5,2,5,5,5,5,2,2,2,2,1,1,2,1,2,2,5,2,5,4.7,2,1.4,3.2,1,2,1,4,4,1,1,1,15,8,7,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,13,2,7,1,4,3,7,1,1,6,1,1,7,1,4,2,4,7,5,1,1,1,2,1,3,1,1,1,5,81,7,7,4,4,7,5,1,7,7,6,6,6,6,7,5,2,7,7,7,7,7,1,4,7,7,7,1,7,7,7,4,7,55,47,32,47,1,1,1,1,5,5,5,5,2,2,1,1,1,1,1,1,5,1,1,1,1,1,4,1,1,5,1.5,1,2,1.75,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,43,15,15,13,3,4,4,4,1,4,1,4,4,4,3,4,16,15,3,1,3,2,1,4,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,7,6,21,31,meaning8
21,2,1,psychology,english,2.8,3,6,0,0,3,0,0,2,1,2,0,1,0,0,0,1,0,0,3,1,0,0,1,2,0,0,0,3,6,5,3,5,5,4,6,4,5,6,5,3,2,4,5,6,6,4,4,4,4,5,5,5,5,7,6,5,5,6,6,5,6,7,7,6,6,6,5,5,22,112,34,92,51,41,4,6,5,5,4,4,5,5,7,7,24,28,45,29,10,6,2,2,5,2,5,3,4,3,4,3,2,2,2,2,2,1,1,2,2,4,4,5,5,3.3,2,1.6,4,3,6,2,5,4,2,6,4,32,16,16,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,18,3,5,2,2,2,3,3,1,5,2,3,5,1,2,2,3,6,4,2,3,3,4,3,1,1,1,6,4,82,7,4,3,4,5,6,2,1,1,6,2,2,7,6,3,2,7,6,7,1,7,4,6,5,7,5,4,5,5,7,7,2,46,44,34,22,1,2,2,2,4,4,4,5,4,4,5,4,1,2,3,5,5,5,3,3,4,4,4,4,1.75,4.25,4.25,2.75,4,4,2,2,3,3,2,2,1,3,2,2,3,2,1,2,1,31,10,10,11,2,3,4,2,3,2,3,3,3,3,4,3,12,9,3,0,2,1,0,3,1,3,2,2,1,0,2,1,0,1,0,2,0,4,1,1,1,6,5,5,20,21,meaning8
