pil1_1,pil2_1,pil3_1,pil4_1,pil5_1,pil6_1,pil7_1,pil8_1,pil9_1,pil10_1,pil11_1,pil12_1,pil13_1,pil14_1,pil15_1,pil16_1,pil17_1,pil18_1,pil19_1,pil20_1,song1_1,song2_1,song3_1,song4_1,song5_1,song6_1,song7_1,song8_1,song9_1,song10_1,song11_1,song12_1,song13_1,song14_1,song15_1,song16_1,song17_1,song18_1,song19_1,song20_1,mist1_1,mist2_1,mist3_1,mist4_1,mist5_1,mist6_1,mist7_1,mist8_1,mist9_1,mist10_1,mist11_1,mist12_1,mist13_1,mist14_1,mist15_1,mist16_1,mist17_1,mist18_1,mist19_1,mist20_1,pq1_1,pq2_1,pq3_1,pq4_1,pq5_1,pq6_1,pq7_1,pq8_1,piltotal,songtot,songa,songb,misttot,mista,mistb,mistc,pqtotal,lpq1_1,lpq2_1,lpq3_1,lpq4_1,lpq5_1,lpq6_1,lpq7_1,lpq8_1,lpq9_1,lpq10_1,lpq11_1,lpq12_1,lpq13_1,lpq14_1,lpq15_1,lpq16_1,lpq17_1,lpq18_1,lpq19_1,lpq20_1,lpqtotal,oq1_1,op2_1,oq3_1,oq4_1,oq5_1,oq6_1,oq7_1,oq8_1,oq9_1,oq10_1,oq11_1,oq12_1,oq13_1,oq14_1,oq15_1,oq16_1,oq17_1,oq18_1,oq19_1,oq20_1,oq21_1,oq22_1,oq23_1,oq24_1,oq25_1,oq26_1,oq27_1,oq28_1,oq29_1,oq30_1,oq31_1,oq32_1,oq33_1,oq34_1,oq35_1,oq36_1,oq37_1,oq38_1,oq39_1,oq40_1,oq41_1,oq42_1,oq43_1,oq44_1,oq45_1,oqtotal,oqsd,oqir,oqsr,sex,years,ethnicit,religiou,grades,pilstarr,pil5,pil15,factor1,factor2,factor3,pilf1mf,pilf2mf,pilf3mf,userid
5,5,7,7,5,7,6,6,7,7,5,5,6,3,7,7,7,1,5,6,4,5,3,5,4,3,6,2,2,3,2,4,2,3,2,4,2,5,2,4,7,6,6,4,5,7,7,7,7,3,7,7,5,7,4,7,4,7,6,1,2,1,1,0,-2,-2,-2,-3,114,67,36,31,114,39,37,38,-5,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,17,0,2,0,2,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,20,15,1,4,2,19,1,1,3.64,98,32,82,33,20,37,36,19,29,logo11
5,5,6,7,7,6,7,6,6,7,5,5,6,6,7,6,6,7,6,6,6,5,4,4,4,5,6,5,4,4,3,2,4,3,5,4,5,6,2,4,7,6,6,6,6,7,6,7,5,5,7,7,5,6,5,6,5,7,5,3,3,3,3,3,0,3,0,3,122,85,45,40,117,38,44,35,18,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,0,1,1,3,2,1,0,0,1,2,0,2,1,2,1,3,0,2,1,1,1,2,1,0,1,0,1,3,1,0,0,0,1,1,0,0,1,2,0,0,2,1,0,0,1,43,22,8,13,2,20,1,1,3,102,30,92,35,18,37,45,18,28,logo12
6,4,5,4,5,6,6,5,5,6,4,5,6,6,3,7,5,5,5,4,2,3,2,3,3,4,3,5,3,3,5,2,2,3,2,3,2,3,2,2,3,3,3,5,4,6,7,3,4,5,5,6,2,3,6,4,5,7,6,2,2,2,3,2,0,0,0,2,102,57,35,22,89,32,29,28,11,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,18,1,1,0,2,2,2,3,0,1,2,0,2,0,0,0,1,2,1,1,0,0,2,2,1,1,1,2,1,1,1,1,0,1,3,1,2,2,2,1,1,1,1,1,1,2,53,30,14,9,2,21,1,1,3.4,87,22,80,30,14,31,36,14,25,logo13
2,2,4,1,1,3,1,1,2,1,1,1,4,7,7,1,2,4,2,2,7,2,6,7,7,6,7,2,7,2,2,7,7,6,6,7,7,1,5,7,1,4,4,6,4,1,7,4,6,3,1,7,2,6,5,6,2,7,7,1,0,0,-3,-3,-3,-3,-3,-3,49,108,65,43,84,32,26,26,-18,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,6,2,4,4,4,4,4,1.22686567164179,1,4,1,1,2,3,0,4,3,3,4,4,3,3,3,4,2,1,4,4,3,1,1,3,4,2,2,0,3,1.45722713864307,3,1,4,4,4,3,0,0,116.684092810285,67,29.6840928102849,20,1,18,3,3,3.75,34,8,41,10,8,8,13,7,8,logo14
5,4,5,5,4,5,6,5,5,5,4,1,5,3,7,4,5,7,4,5,2,4,3,2,5,5,5,5,2,5,2,4,2,5,3,2,2,1,3,3,1,5,5,3,6,2,7,5,7,5,2,7,2,7,6,2,3,4,7,1,3,-3,-3,-3,-3,-3,-3,-3,94,65,39,26,87,28,28,31,-18,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,16,2,0,1,3,3,3,1,0,0,0,1,2,1,1,0,4,0,1,2,1,1,2,1,0,1,3,1,3,3,1,0,0,3,2,0,1,2,2,3,0,1,1,1,2,1,61,26,18,17,1,21,1,2,2.7,78,24,70,27,15,26,35,15,20,logo15
6,6,6,6,5,6,6,7,6,5,7,6,7,5,3,7,6,4,5,7,4,5,6,3,3,4,6,5,4,6,4,1,2,1,7,4.02058823529412,2,7,4,4,6,6,6,6,5,7,7,6,6,5,5,7,5,4,4,6,4,7,4,2,0,0,0,1,0,0,0,0,116,82.0205882352941,40,42.0205882352941,108,34,40,34,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,18,1,1,1,1,1,1,0,0,0,1,0,1,0,2,0,0,0,2,1,1,0,3,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,25,14,6,5,1,19,1,1,3.87,102,32,84,35,19,36,37,20,31,logo16
5,5,6,5,4,4,7,4,5,5,4,4,4,5,7,3,5,5,4,5,5,6,4,2,4,7,7,5,4,7,2,4,3,4,7,7,6,3,3,7,7,4,6,6,3,7,6,5,6,2,6,3,6,6,5,7,2,7,3,2,3,-2,-2,-2,-2,-2,-2,-2,96,97,47,50,99,29,39,31,-11,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,14,0,2,1,3,2,2,1,1,1,0,0,2,0,1,1,3,1.02089552238806,2,1,1,1,3,1,0,2,1,1,3,1,1,1,0,1,1,0,1,2,2,1,2,1,2,2,0,1,56.0208955223881,28,15.0208955223881,13,1,19,1,1,3.2,77,24,72,27,16,29,35,15,22,logo17
4,3,7,6,5,6,7,5,5,6,6,6,5,4,6,6,6,6,5,6,4,6,4,4,4,7,7,5,3,4,1,2,4,3,4,3,2,4,4,3,6,5,6,6,5,7,4,5,6,7,6,6,2,4,7,6,1,4,7,2,0,0,0,2,1,-1,1,-1,110,78,42,36,102,34,41,27,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,19,0,2,0,4,2,2,3,0,1,1,0,1,1,4,1,3,4,3,0,2,1,3,0,1,0,0,3,0,1,0,0,0,1,1,1,1,3,0,0,1,1,2,4,0,1,59,27,22,10,2,22,1,1,3.97,93,29,81,27,19,37,38,18,28,logo18
5,5,6,7,2,4,7,5,5,6,5,2,7,7,7,3,7,6,6,3,7,6,5,5,3,6,6,2,6,6,3,2,2,2,5,5,3,3,4,2,7,7,7,6,6,7,7,6,7,7,7,7,6,7,6,6,5,7,5,2,3,3,-1,3,3,2,2,3,105,83,43,40,125,38,47,40,18,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,3,2,1,3,1,1,0,1,0,0,2,1,2,0,1,0,1,1,0,0,2,0,1,0,0,1,4,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,2,37,19,8,10,2,22,1,1,3.3,84,27,78,28,16,31,39,14,23,logo19
6,6,6,6,5,6,7,6,6,6,6,6,3,6,5,7,6,2,6,6,5,5,5,5,2,7,7,6,5,6,2,2,4,4,6,5,5,7,2,6,7,7,7,6,6,7,6,7,7,6,6,4,7,7,5,7,7,7,7,1,2,-2,-1,1,1,1,1,-1,113,96,47,49,124,37,46,41,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,15,1,0,0,3,3,3,3,0,2,2,0,1,0,3,0,1,1,1,2,1,1,3,0,.905604719764012,2,.818991097922849,0,0,3,0,1,1,1,2,0,2,1,3,2,1,3,0,1,2,2,59.7245958176869,30.905604719764,12.8189910979228,16,2,19,1,1,3.1,95,30,83,35,18,37,38,18,30,logo20
4,4,4,7,6,3,7,6,6,6,7,4,6,4,5,7,7,2,6,6,6,4,4,4,3,6,6,2,3,3,1,5,4,6,3,6,4,6,6,4,7,7,7,7,5,7,7,7,7,5,7,7,6,7,7,7,5,7,7,7,2,2,0,2,2,1,0,2,107,86,46,40,133,40,53,40,11,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,17,0,4,2,3,3,3,2,0,4,2,0,2,2,2,2,2,0,3,3,1,1,2,1,1,1,0,3,2,1,2,1,0,3,3,4,2,2,1,1,2,2,2,0,0,3,80,53,15,12,2,19,1,1,4,91,33,74,32,17,34,38,16,25,logo21
5,5,7,6,5,5,7,5,5,7,7,3,6,6,6,6,6,5,3,6,4,5,3,2,2,6,6,1,3,3,2,2,2,4,5,5,2,4,2,4,6,5,6,7,6,7,5,3,5,6,5,6,5,5,5,3,5,7,6,5,3,0,-3,-3,-3,-3,-3,-2,111,67,30,37,108,33,43,32,-14,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,18,1,2,1,3,3,2,0,0,1,1,0,2,1,1,0,3,0,1,2,0,0,2,1,0,1,4,1,2,0,1,1,1,2,2,0,1,0,1,0,0,2,2,0,0,2,50,28,12,10,2,21,1,1,3.5,92,30,81,28,19,35,38,18,26,logo22
